,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"SICKO MODE","Travis Scott",1823114,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
2,"In My Feelings",Drake,1776225,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
3,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,1652308,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
4,"Lucid Dreams","Juice WRLD",1486385,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
5,STARGAZING,"Travis Scott",1133239,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
6,SAD!,XXXTENTACION,1099124,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
7,"Eastside (with Halsey & Khalid)","benny blanco",1051400,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
8,"No Brainer","DJ Khaled",1050086,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
9,Nonstop,Drake,1038733,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
10,"Taste (feat. Offset)",Tyga,1034886,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
11,"Better Now","Post Malone",948892,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
12,"I Like It","Cardi B",946902,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
13,Moonlight,XXXTENTACION,936338,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
14,"Yes Indeed","Lil Baby",860916,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
15,"Girls Like You (feat. Cardi B)","Maroon 5",851800,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
16,"Taking A Walk","Trippie Redd",783359,https://open.spotify.com/track/4mHgYpuGHu99Mw69E83CP2
17,Youngblood,"5 Seconds of Summer",686572,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
18,"Nice For What",Drake,676461,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
19,"God is a woman","Ariana Grande",675190,https://open.spotify.com/track/7gkWXbAxIYuvtOpcN3p9GJ
20,"Psycho (feat. Ty Dolla $ign)","Post Malone",661592,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
