,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"In My Feelings",Drake,559260,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
2,Shotgun,"George Ezra",450162,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
3,"No Brainer","DJ Khaled",366795,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
4,"Eastside (with Halsey & Khalid)","benny blanco",360675,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
5,Rise,"Jonas Blue",340244,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
6,"Lucid Dreams","Juice WRLD",333555,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
7,"Jackie Chan",Tiësto,320121,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
8,"Body (feat. brando)","Loud Luxury",292841,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
9,"Taste (feat. Offset)",Tyga,292772,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
10,"God is a woman","Ariana Grande",274003,https://open.spotify.com/track/7gkWXbAxIYuvtOpcN3p9GJ
11,"If You're Over Me","Years & Years",268685,https://open.spotify.com/track/1oc3jna2ablnfIKLYbKujl
12,"Solo (feat. Demi Lovato)","Clean Bandit",255861,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
13,"Girls Like You (feat. Cardi B)","Maroon 5",251488,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
14,"One Kiss (with Dua Lipa)","Calvin Harris",243609,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
15,"Ring Ring (feat. Mabel & Rich The Kid)","Jax Jones",237006,https://open.spotify.com/track/3pSfoP1xZllxEuZ6Oh6ebn
16,Youngblood,"5 Seconds of Summer",234522,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
17,"SICKO MODE","Travis Scott",224684,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
18,"Don’t Matter To Me (with Michael Jackson)",Drake,208351,https://open.spotify.com/track/6G8kHiVZ1jW7vHMPVRNZU0
19,"Better Now","Post Malone",206518,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
20,2002,Anne-Marie,206456,https://open.spotify.com/track/6SFStUDQZNaGPKWOx9ZiJB
21,"Praise The Lord (Da Shine)","A$AP Rocky",195101,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
22,"I Like It","Cardi B",193476,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
23,SAD!,XXXTENTACION,188930,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
24,"Only You (with Little Mix)","Cheat Codes",186985,https://open.spotify.com/track/54l9GJGQ1UCFKe2tzt1Vxt
25,Butterflies,"AJ Tracey",186769,https://open.spotify.com/track/6DMXPshekQJR7uOMj0103y
26,"Nice For What",Drake,184195,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
27,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,173037,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
28,"I'll Be There","Jess Glynne",167486,https://open.spotify.com/track/083Qf6hn6sFL6xiOHlZUyn
29,"Oh My",Dappy,166570,https://open.spotify.com/track/5lTBFpNkKWu8nRy3qzEw2h
30,"Fine Girl",ZieZie,165645,https://open.spotify.com/track/2H9zpvV33I48HE5jnNvWVB
31,Nonstop,Drake,160029,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
32,"First Time",M-22,156726,https://open.spotify.com/track/25Mf35cnnFalpVNFp0g3hW
33,"God's Plan",Drake,152377,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
34,"High Hopes","Panic! At The Disco",150811,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
35,"Bed (feat. Ariana Grande)","Nicki Minaj",149637,https://open.spotify.com/track/3L4GsGLgxpHieVQH86H8bv
36,"Best Life","Hardy Caprio",148694,https://open.spotify.com/track/3wAyZwtyyLMsJNG7Mb17ky
37,"Leave a Light On","Tom Walker",148232,https://open.spotify.com/track/6lOWoTqVnAWXchddtTH31W
38,"In My Mind",Dynoro,147892,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
39,"no tears left to cry","Ariana Grande",146807,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
40,Paradise,"George Ezra",144864,https://open.spotify.com/track/38zwkK6TtTjIW9tpYBfZ3D
41,Nevermind,"Dennis Lloyd",142911,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
42,STARGAZING,"Travis Scott",140358,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
43,"This Is Me","Keala Settle",134482,https://open.spotify.com/track/2xGjteMU3E1tkEPVFBO08U
44,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,132836,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
45,Moonlight,XXXTENTACION,130604,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
46,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",129881,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
47,"Bad Vibe",M.O,123601,https://open.spotify.com/track/70eehEqNug7oAhozjhG21t
48,"The Middle",Zedd,120697,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
49,"Ocean (feat. Khalid)","Martin Garrix",120004,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
50,Lullaby,Sigala,119759,https://open.spotify.com/track/5xzCzOAOfRi4DOttSzvznR
51,German,EO,119379,https://open.spotify.com/track/7cwLbWHs42c8JmrW9BJZos
52,079ME,"B Young",112491,https://open.spotify.com/track/5f14ylFBAuwqVHXvafqtmd
53,"Panic Room",Au/Ra,112019,https://open.spotify.com/track/3MkuFR7t25mu7Iscp6GGiV
54,"Ay Caramba",Fredo,107315,https://open.spotify.com/track/0mfEHC4z5a7533o7VNOH2c
55,"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta",103033,https://open.spotify.com/track/2lYTJK94hb0fd1LQtb6Dhk
