,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Eastside (with Halsey & Khalid)","benny blanco",298178,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
2,"Be Alright","Dean Lewis",272653,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
3,"In My Feelings",Drake,249405,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
4,"No Brainer","DJ Khaled",210002,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
5,Youngblood,"5 Seconds of Summer",198498,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
6,"SICKO MODE","Travis Scott",184553,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
7,"Girls Like You (feat. Cardi B)","Maroon 5",183199,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
8,"Lucid Dreams","Juice WRLD",163106,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
9,"High Hopes","Panic! At The Disco",160044,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
10,Rise,"Jonas Blue",153785,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
11,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,153168,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
12,"Taste (feat. Offset)",Tyga,150897,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
13,"Better Now","Post Malone",144323,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
14,"Jackie Chan",Tiësto,143791,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
15,"Ocean (feat. Khalid)","Martin Garrix",141052,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
16,"God is a woman","Ariana Grande",138067,https://open.spotify.com/track/7gkWXbAxIYuvtOpcN3p9GJ
17,Nevermind,"Dennis Lloyd",131705,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
18,"Healing Hands","Conrad Sewell",118745,https://open.spotify.com/track/1LwnqPolBLuhZKp8zAwaIz
19,"Beautiful (feat. Camila Cabello)",Bazzi,116464,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
20,SAD!,XXXTENTACION,114766,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
21,"Never Ever (feat. Sarah)","The Rubens",110625,https://open.spotify.com/track/4E2s2lCNKxbWJMwHPMzOfq
22,"Born To Be Yours",Kygo,105653,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
23,"Solo (feat. Demi Lovato)","Clean Bandit",105525,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
24,"I'll Be There","Jess Glynne",105335,https://open.spotify.com/track/083Qf6hn6sFL6xiOHlZUyn
25,2002,Anne-Marie,105143,https://open.spotify.com/track/6SFStUDQZNaGPKWOx9ZiJB
26,"Happy Now",Zedd,102755,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
27,"lovely (with Khalid)","Billie Eilish",100086,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
28,Fire,"Peking Duk",98554,https://open.spotify.com/track/3BZkEOJwKUYRlkLWZB1izC
29,Shotgun,"George Ezra",97671,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
30,"Hurt Somebody","Noah Kahan",94447,https://open.spotify.com/track/7apizLyhMRutg3ccXvr2qv
31,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",91960,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
32,"Praise The Lord (Da Shine)","A$AP Rocky",91861,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
33,STARGAZING,"Travis Scott",90615,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
34,"I Like It","Cardi B",90177,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
35,"Nice For What",Drake,87396,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
36,"Thunderclouds with Sia, Diplo & Labrinth",Sia,87221,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
37,"One Kiss (with Dua Lipa)","Calvin Harris",86333,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
38,"I'm a Mess","Bebe Rexha",86210,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
39,Nonstop,Drake,84816,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
40,"God's Plan",Drake,84352,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
41,"I Wanna Know (feat. Bea Miller)",NOTD,82390,https://open.spotify.com/track/18W92Zm1KjLCbUIszOhpkD
42,"Just Friends","Hayden James",80995,https://open.spotify.com/track/6tB4XVKceo2307SSWXaO0y
43,SWISH,Tyga,80494,https://open.spotify.com/track/55GiOwtxNajXVbpjjIzMnD
44,"Psycho (feat. Ty Dolla $ign)","Post Malone",79996,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
45,"Bed (feat. Ariana Grande)","Nicki Minaj",78488,https://open.spotify.com/track/3L4GsGLgxpHieVQH86H8bv
46,"Jocelyn Flores",XXXTENTACION,78429,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
47,"you should see me in a crown","Billie Eilish",78414,https://open.spotify.com/track/6vsV4D8BM6PioRr1UOx0n2
48,"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta",78149,https://open.spotify.com/track/2lYTJK94hb0fd1LQtb6Dhk
49,"Body (feat. brando)","Loud Luxury",78000,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
50,Moonlight,XXXTENTACION,76757,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
51,"In My Mind",Dynoro,63876,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
52,"rockstar (feat. 21 Savage)","Post Malone",63707,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
53,"Love Lies (with Normani)",Khalid,63023,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
54,"no tears left to cry","Ariana Grande",59503,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
55,"High On Life (feat. Bonn)","Martin Garrix",59499,https://open.spotify.com/track/4ut5G4rgB1ClpMTMfjoIuy
56,changes,XXXTENTACION,59424,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
57,"I Fall Apart","Post Malone",59231,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
58,OTW,Khalid,57844,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI
59,"Shape of You","Ed Sheeran",56661,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
60,Younger,Ruel,55453,https://open.spotify.com/track/2qXicQG06oT0ijKBznpgQv
