,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"In My Feelings",Drake,39115,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
2,"In My Mind",Dynoro,37257,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
3,"One Kiss (with Dua Lipa)","Calvin Harris",29660,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
4,"Solo (feat. Demi Lovato)","Clean Bandit",29128,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
5,Rise,"Jonas Blue",27445,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
6,"Jackie Chan",Tiësto,27166,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
7,"No Brainer","DJ Khaled",26181,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
8,"Girls Like You (feat. Cardi B)","Maroon 5",23632,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
9,Ellie,Regi,23498,https://open.spotify.com/track/2NPiBHafyMwJXvSemJ2S0F
10,Shotgun,"George Ezra",23258,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
11,Youngblood,"5 Seconds of Summer",22090,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
12,SAD!,XXXTENTACION,20617,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
13,"Lucid Dreams","Juice WRLD",19663,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
14,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,19635,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
15,"I Like It","Cardi B",19371,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
16,"Eastside (with Halsey & Khalid)","benny blanco",19339,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
17,"Body (feat. brando)","Loud Luxury",18675,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
18,"When I Grow Up (feat. Wiz Khalifa)","Dimitri Vegas & Like Mike",18249,https://open.spotify.com/track/3LK452TFyApuFN9jjg3THO
19,"Leave a Light On","Tom Walker",17787,https://open.spotify.com/track/6lOWoTqVnAWXchddtTH31W
20,"SICKO MODE","Travis Scott",17317,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
21,"Praise The Lord (Da Shine)","A$AP Rocky",16647,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
22,"Better Now","Post Malone",16511,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
23,2002,Anne-Marie,16463,https://open.spotify.com/track/6SFStUDQZNaGPKWOx9ZiJB
24,"Taste (feat. Offset)",Tyga,16249,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
25,"Happy Now",Zedd,15435,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
26,Moonlight,XXXTENTACION,15383,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
27,Nevermind,"Dennis Lloyd",15374,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
28,"Miljonair (feat. SBMG, Lil' Kleine, Boef & Ronnie Flex)",$hirak,15268,https://open.spotify.com/track/77wz2VtAwxAwYOGTJrZBKT
29,STARGAZING,"Travis Scott",14920,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
30,Melody,"Lost Frequencies",14899,https://open.spotify.com/track/5r49JKf2vWBF0CQjZewJ0O
31,91's,PNL,14881,https://open.spotify.com/track/58st6r10Ze6QomHs0BMUA8
32,"La même","Maître Gims",14151,https://open.spotify.com/track/7HK0UeyxUWJjc6ndRZVKFg
33,"Ocean (feat. Khalid)","Martin Garrix",13772,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
34,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",13537,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
35,"God is a woman","Ariana Grande",13400,https://open.spotify.com/track/7gkWXbAxIYuvtOpcN3p9GJ
36,"God's Plan",Drake,13363,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
37,Djadja,"Aya Nakamura",13126,https://open.spotify.com/track/3XfnssSD9HMQ9LhVOJvXTE
38,"La Cintura","Alvaro Soler",13123,https://open.spotify.com/track/19MBk3PbNFE36wqIqkMq9H
39,"Be Alright","Dean Lewis",13100,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
40,"no tears left to cry","Ariana Grande",13019,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
41,"Shape of You","Ed Sheeran",12932,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
42,"Born To Be Yours",Kygo,12638,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
43,FRIENDS,Marshmello,12392,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
44,Flames,"David Guetta",12264,https://open.spotify.com/track/33IOhptvC2Qoy2UhjiHXLV
45,"Don’t Matter To Me (with Michael Jackson)",Drake,11832,https://open.spotify.com/track/6G8kHiVZ1jW7vHMPVRNZU0
46,"Remind Me to Forget",Kygo,11717,https://open.spotify.com/track/6xTU6B6nFwKKTSZ9ySXS80
47,"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta",11341,https://open.spotify.com/track/2lYTJK94hb0fd1LQtb6Dhk
48,IDGAF,"Dua Lipa",11339,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
49,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,11070,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
50,changes,XXXTENTACION,10893,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
51,"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam",10296,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
