,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Ao Vivo E A Cores","Matheus & Kauan",441122,https://open.spotify.com/track/2Ab1wPTEqulaCGoBak1gUo
2,Medicina,Anitta,426446,https://open.spotify.com/track/4R5xvs5X0phd0EYWyGigju
3,"Din Din Din (Participação especial de MC Pupio e MC Doguinha)",Ludmilla,418275,https://open.spotify.com/track/78Q2gghkt8iLJ7J0Uc4QYb
4,"Largado Às Traças - Ao Vivo","Zé Neto & Cristiano",401683,https://open.spotify.com/track/1IJH7QjV5V99eJBtKXqGXE
5,"Meu Abrigo",Melim,380041,https://open.spotify.com/track/5U28PY9MekLyCBYtLHGQpe
6,"Propaganda - Ao Vivo","Jorge & Mateus",379743,https://open.spotify.com/track/74n5d5M21JnC4WJ6gdkggK
7,"Quero Que Tu Vá",Ananda,360166,https://open.spotify.com/track/7ppLcVgxpoWAhAa2c0CN3b
8,"Problema Seu","Pabllo Vittar",353662,https://open.spotify.com/track/0sMgOV0KurBXvZ4G5AJj4X
9,"Pouca Pausa",Clau,313832,https://open.spotify.com/track/2odzriVVZBwYOiYJEj30tm
10,"In My Feelings",Drake,312407,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
11,"Romance Com Safadeza","Wesley Safadão",308112,https://open.spotify.com/track/0RBOFW5424gCCCZrgECbt6
12,"Jogo do Amor","MC Bruninho",292708,https://open.spotify.com/track/3MxbRHE1u74SoMNR9iURIZ
13,Fuleragem,"MC WM",287286,https://open.spotify.com/track/6tuzPD1zPPvwMbGiD0TBay
14,"A Culpa É Dele - Ao Vivo | Acústico","Marília Mendonça",283899,https://open.spotify.com/track/6yxYagNp6Gapd7jXmWzgVc
15,"Amor de Verdade","MC Kekel",279256,https://open.spotify.com/track/76KDy62J99FKu6ZsxMJy3j
16,"O Alvo - Ao Vivo","Diego & Victor Hugo",274229,https://open.spotify.com/track/5Vw6ZLNB6Ko7VZM6vmNIbr
17,"O Sol","Vitor Kley",270956,https://open.spotify.com/track/3IfctMaf2sfvlSLRa42Cna
18,"Status Que Eu Não Queria - Ao Vivo","Zé Neto & Cristiano",261938,https://open.spotify.com/track/1fyhyOy6iS9E2NckAzjmTo
19,"Amor Falso","Aldair Playboy",248176,https://open.spotify.com/track/00zzSEe82JTtz68XlARnh7
20,"Anti-Amor - Ao Vivo","Gustavo Mioto",241647,https://open.spotify.com/track/7JdZZfozlODQ08ATf8xIZ6
