,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"In My Feelings",Drake,263899,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
2,"SICKO MODE","Travis Scott",228458,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
3,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,188958,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
4,"No Brainer","DJ Khaled",175553,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
5,"Eastside (with Halsey & Khalid)","benny blanco",157342,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
6,"Girls Like You (feat. Cardi B)","Maroon 5",154387,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
7,"Taste (feat. Offset)",Tyga,150665,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
8,"Lucid Dreams","Juice WRLD",144840,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
9,"Better Now","Post Malone",142912,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
10,STARGAZING,"Travis Scott",141713,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
11,"I Like It","Cardi B",140042,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
12,"Body (feat. brando)","Loud Luxury",132497,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
13,"Jackie Chan",Tiësto,130976,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
14,Nonstop,Drake,120364,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
15,Youngblood,"5 Seconds of Summer",117721,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
16,SAD!,XXXTENTACION,102169,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
17,"God is a woman","Ariana Grande",95788,https://open.spotify.com/track/7gkWXbAxIYuvtOpcN3p9GJ
18,"Solo (feat. Demi Lovato)","Clean Bandit",93179,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
19,Rise,"Jonas Blue",91268,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
20,"Nice For What",Drake,87747,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
21,"In My Mind",Dynoro,85674,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
22,"Ocean (feat. Khalid)","Martin Garrix",83674,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
23,Moonlight,XXXTENTACION,82910,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
24,"God's Plan",Drake,81858,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
25,"Praise The Lord (Da Shine)","A$AP Rocky",78523,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
26,"Don’t Matter To Me (with Michael Jackson)",Drake,78398,https://open.spotify.com/track/6G8kHiVZ1jW7vHMPVRNZU0
27,"Psycho (feat. Ty Dolla $ign)","Post Malone",76428,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
28,"Born To Be Yours",Kygo,75761,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
29,YOSEMITE,"Travis Scott",74428,https://open.spotify.com/track/7lAK3oHbfEnvUQWosrMMpR
30,"Happy Now",Zedd,73373,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
31,"One Kiss (with Dua Lipa)","Calvin Harris",73027,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
32,"Yes Indeed","Lil Baby",72856,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
33,SWISH,Tyga,71934,https://open.spotify.com/track/55GiOwtxNajXVbpjjIzMnD
34,"rockstar (feat. 21 Savage)","Post Malone",68961,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
35,"Barbie Dreams","Nicki Minaj",68115,https://open.spotify.com/track/6Poyf51k7W3NKnsGwAI90B
36,"Beautiful (feat. Camila Cabello)",Bazzi,67227,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
37,"Ball For Me (feat. Nicki Minaj)","Post Malone",67191,https://open.spotify.com/track/6IaieqiCVvsNvEt6Y7yOFa
38,"Look Alive (feat. Drake)","BlocBoy JB",66421,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
39,"Ganja Burns","Nicki Minaj",65567,https://open.spotify.com/track/3LHYmz86DxGInsRp3wiiW5
40,"I'm a Mess","Bebe Rexha",63343,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
41,"WAKE UP","Travis Scott",63267,https://open.spotify.com/track/20MuVazoNMv6xjKPnRFOxG
42,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",62896,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
43,"Taking A Walk","Trippie Redd",61989,https://open.spotify.com/track/4mHgYpuGHu99Mw69E83CP2
44,Nevermind,"Dennis Lloyd",61090,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
45,"Bed (feat. Ariana Grande)","Nicki Minaj",60532,https://open.spotify.com/track/3L4GsGLgxpHieVQH86H8bv
46,Natural,"Imagine Dragons",60161,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
47,"Mob Ties",Drake,59008,https://open.spotify.com/track/7rC5Pl8rQSX4myONQHYPBK
48,"I'm Upset",Drake,58605,https://open.spotify.com/track/3qN5qMTKyEEmiTZD38BNTT
49,"BUTTERFLY EFFECT","Travis Scott",57914,https://open.spotify.com/track/6xcJyGpfZbuuiequtnlKt4
50,"High Hopes","Panic! At The Disco",54932,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
51,CAROUSEL,"Travis Scott",54697,https://open.spotify.com/track/7KZ5MMVgBVox9ycroB2UrI
52,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG,54539,https://open.spotify.com/track/0ZNrc4kNeQYD9koZ3KvCsy
53,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",53909,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
54,"Be Alright","Dean Lewis",53362,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
55,OTW,Khalid,53171,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI
56,"CAN'T SAY","Travis Scott",53096,https://open.spotify.com/track/27a1mYSG5tYg7dmEjWBcmL
57,"Majesty (feat. Eminem & Labrinth)","Nicki Minaj",52067,https://open.spotify.com/track/38TgLPNHsPzgqri5G4SPun
58,"W O R K I N M E",Quavo,51882,https://open.spotify.com/track/33tNYw9oMtSkGe27NpgS64
59,"Jocelyn Flores",XXXTENTACION,51639,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
60,"no tears left to cry","Ariana Grande",51459,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
61,Lie,NF,51000,https://open.spotify.com/track/07FkzikE6FuHIa8Ma7zJGc
