,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"In My Mind",Dynoro,42041,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
2,"Melodien (feat. Juju)","Capital Bra",33883,https://open.spotify.com/track/5d35jcJj7WjDQBOHCHPY6t
3,"In My Feelings",Drake,30325,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
4,"500 PS","Bonez MC",28606,https://open.spotify.com/track/641R77CBy4bOLGRcA9sgHy
5,"Solo (feat. Demi Lovato)","Clean Bandit",26255,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
6,"Girls Like You (feat. Cardi B)","Maroon 5",24846,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
7,Rise,"Jonas Blue",24616,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
8,Nevermind,"Dennis Lloyd",23832,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
9,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,23241,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
10,"Body (feat. brando)","Loud Luxury",21609,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
11,079,"Lo & Leduc",21276,https://open.spotify.com/track/3dfCKQy9JY2ixI58zTeUn9
12,"No Brainer","DJ Khaled",21030,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
13,"I Like It","Cardi B",20395,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
14,"Taste (feat. Offset)",Tyga,19208,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
15,"Born To Be Yours",Kygo,18563,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
16,STARGAZING,"Travis Scott",18072,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
17,"SICKO MODE","Travis Scott",17766,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
18,"One Kiss (with Dua Lipa)","Calvin Harris",17613,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
19,2002,Anne-Marie,17598,https://open.spotify.com/track/6SFStUDQZNaGPKWOx9ZiJB
20,"Jackie Chan",Tiësto,17463,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
21,"Better Now","Post Malone",17446,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
22,"Eastside (with Halsey & Khalid)","benny blanco",17341,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
23,"Lucid Dreams","Juice WRLD",16639,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
24,"Nike Pullover",Azet,16418,https://open.spotify.com/track/4rAN7PfOWxyR9MAeUd7wLy
25,"Amore e Capoeira","Takagi & Ketra",16255,https://open.spotify.com/track/5Vwqy3CS2aCB6jcgm1qWfk
26,SAD!,XXXTENTACION,16202,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
27,Shotgun,"George Ezra",15951,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
28,91's,PNL,15825,https://open.spotify.com/track/58st6r10Ze6QomHs0BMUA8
29,"Te Boté - Remix","Nio Garcia",14893,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
30,"GIGI (ZKITTLEZ)",Gringo,14411,https://open.spotify.com/track/0w7Yk16SqMY7BioZktmcYm
31,"Praise The Lord (Da Shine)","A$AP Rocky",14269,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
32,40K,Ufo361,13660,https://open.spotify.com/track/5al97HZnNQz1JNmYlHqiAa
33,Youngblood,"5 Seconds of Summer",13527,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
34,"Sin Pijama","Becky G",13385,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
35,Moonlight,XXXTENTACION,13140,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
36,Adiós,"Loco Escrito",12955,https://open.spotify.com/track/7Jd71zM4qZOTyeqOniNYMI
37,"Bella ciao - HUGEL Remix","El Profesor",12191,https://open.spotify.com/track/1MFSD0AkPk8Yq7TDEhrHcb
38,"Für Euch alle (feat. Samra & Capital Bra)",Bushido,12173,https://open.spotify.com/track/78CLZUWhsxIDwObCKOh1fh
39,"Happy Now",Zedd,12166,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
40,"Be Alright","Dean Lewis",11868,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
41,"La Cintura","Alvaro Soler",11806,https://open.spotify.com/track/19MBk3PbNFE36wqIqkMq9H
42,"Ocean (feat. Khalid)","Martin Garrix",11738,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
43,"God is a woman","Ariana Grande",11634,https://open.spotify.com/track/7gkWXbAxIYuvtOpcN3p9GJ
44,Flames,"David Guetta",11453,https://open.spotify.com/track/33IOhptvC2Qoy2UhjiHXLV
45,Neymar,"Capital Bra",11341,https://open.spotify.com/track/7ecGSqT8Ulbzhs5QwgWGVN
46,Casanova,"Summer Cem",11335,https://open.spotify.com/track/0jB0RNZIfaihaDKNmdrI40
47,"One Night Stand","Capital Bra",11302,https://open.spotify.com/track/3AXtDUSO78KrGa9Rq8rWUS
48,"Jennie (feat. R. City, Bori)","Felix Jaehn",11285,https://open.spotify.com/track/1iBOPEE6fIMsl7GMMcEyCF
49,"Toto (feat. RAF Camora)",Noizy,11244,https://open.spotify.com/track/1fyvQWmRbW81M0xXKI1Rrk
50,"High Hopes","Panic! At The Disco",10371,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
51,X,"Nicky Jam",10193,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
52,Mercedes,Eno,10143,https://open.spotify.com/track/0VNlBq4JKqvlIlveSwC4WJ
53,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",10028,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
54,"Je ne parle pas français - Beatgees Remix",Namika,9841,https://open.spotify.com/track/0LH2h4pwiX1iY3KDuONOb6
