,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Vaina Loca",Ozuna,233487,https://open.spotify.com/track/1s2B5cndbqK8rPJEIcKJRQ
2,Hipócrita,"Anuel Aa",197513,https://open.spotify.com/track/6XBjCetHKdO5L9cwMDVffw
3,"No Es Justo","J Balvin",193581,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7
4,"Te Boté - Remix","Nio Garcia",166808,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
5,"Sin Pijama","Becky G",152483,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
6,"La Player (Bandolera)","Zion & Lennox",139287,https://open.spotify.com/track/0VKkyBKCXyR99navhVRqcP
7,Asesina,Brytiago,131258,https://open.spotify.com/track/6rbhaJsE4uLzpPf8WYSHDK
8,"Quiere Beber","Anuel Aa",123822,https://open.spotify.com/track/3rPAD722s5FFNnwjC91t7Z
9,"Por Perro","Sebastian Yatra",119388,https://open.spotify.com/track/2alIsNw1mqEShbWyO1HXZZ
10,"Estamos Bien","Bad Bunny",117955,https://open.spotify.com/track/7glCSQqV5o6NU88Cn4zPZn
11,"No Me Acuerdo",Thalía,112106,https://open.spotify.com/track/00EPIEnX1JFjff8sC6bccd
12,"Cuando Te Besé","Becky G",109800,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy
13,Unica,Ozuna,106048,https://open.spotify.com/track/6752EZMgXswvRBH3N2PilO
14,"Toda - Remix","Alex Rose",101105,https://open.spotify.com/track/7nD2JPaxIKUdxd2UWgnaGL
15,"Duro y Suave","Leslie Grace",100722,https://open.spotify.com/track/31M5m42C3EGlbydf9XB5to
16,"Me Niego",Reik,97046,https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T
17,"Madura (feat. Bad Bunny)",Cosculluela,95777,https://open.spotify.com/track/0r9d60ZYPAlFHq8qnUtkXN
18,"Chica Paranormal","Paulo Londra",90456,https://open.spotify.com/track/2r77vqSZkOktTSgmAOoHsV
19,"X - Remix","Nicky Jam",88536,https://open.spotify.com/track/6JjPBQfI2Y8nIjnm65X6Pw
20,"Dura - Remix","Daddy Yankee",87393,https://open.spotify.com/track/6U2NuJILEOEpW2tVCuqKHb
21,"In My Feelings",Drake,84834,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
22,"No Quiero Amarte (feat. Zion & Lennox)","Justin Quiles",83947,https://open.spotify.com/track/5bITfqKGaPakO1l99hOMsI
23,Clandestino,Shakira,82628,https://open.spotify.com/track/7DrluKkTviBwCc8AV3VGmf
24,Brindemos,"Anuel Aa",79522,https://open.spotify.com/track/7LeQ55Z5jPBB0ggYJtAiYO
25,"I Like It","Cardi B",76890,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
26,"Zum Zum","Daddy Yankee",75463,https://open.spotify.com/track/7lEhOiFtcLXY4P7cuTKuQ8
27,"Pensando en Ti","Anuel Aa",71312,https://open.spotify.com/track/3aY5VP7fEtVHfEc1o8eRNK
28,"Te Amo","Piso 21",71077,https://open.spotify.com/track/2RVrdr062uLFxXwIxwdXPH
29,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","Sofia Reyes",70497,https://open.spotify.com/track/4QtiVmuA88tPQiCOHZuQ5b
30,Casualidad,Nacho,68825,https://open.spotify.com/track/08rwXPBZ2DHOwnL7xaz044
31,"Mi Cama - Remix","Karol G",64408,https://open.spotify.com/track/38QmUDpkoYlNbMKvpvAsrE
32,"Nena Maldicion (feat. Lenny Tavarez)","Paulo Londra",64290,https://open.spotify.com/track/3TnhQSRwT3AVMdXw5JPq0x
33,"Síguelo Bailando",Ozuna,61556,https://open.spotify.com/track/5Y9fnynLlIvqtM710MHzfz
34,Dembow,"Danny Ocean",60984,https://open.spotify.com/track/2EzRdhuoPyNJDlep7lnNf2
35,"Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21",60337,https://open.spotify.com/track/1j6xOGusnyXq3l6IryKF3G
36,"El Clavo - Remix","Prince Royce",57132,https://open.spotify.com/track/6bI00brFpeprqCDqKouEJS
37,Calypso,"Luis Fonsi",56794,https://open.spotify.com/track/4178A5NkEjcsGc64jpBO6d
