,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Vaina Loca",Ozuna,20961,https://open.spotify.com/track/1s2B5cndbqK8rPJEIcKJRQ
2,"Te Boté - Remix","Nio Garcia",19715,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
3,"In My Feelings",Drake,17718,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
4,"No Es Justo","J Balvin",15699,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7
5,"Toda - Remix","Alex Rose",15438,https://open.spotify.com/track/7nD2JPaxIKUdxd2UWgnaGL
6,"La Player (Bandolera)","Zion & Lennox",14960,https://open.spotify.com/track/0VKkyBKCXyR99navhVRqcP
7,"Sin Pijama","Becky G",13023,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
8,Unica,Ozuna,12924,https://open.spotify.com/track/6752EZMgXswvRBH3N2PilO
9,"I Like It","Cardi B",12477,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
10,Asesina,Brytiago,12206,https://open.spotify.com/track/6rbhaJsE4uLzpPf8WYSHDK
11,"Te Amo","Piso 21",11932,https://open.spotify.com/track/2RVrdr062uLFxXwIxwdXPH
12,Culpables,"Manuel Turizo",11456,https://open.spotify.com/track/3RD0PGolM0mETGHaprwgMn
13,"Madura (feat. Bad Bunny)",Cosculluela,10821,https://open.spotify.com/track/0r9d60ZYPAlFHq8qnUtkXN
14,"Me Niego",Reik,10734,https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T
15,"Nena Maldicion (feat. Lenny Tavarez)","Paulo Londra",10694,https://open.spotify.com/track/3TnhQSRwT3AVMdXw5JPq0x
16,"Estamos Bien","Bad Bunny",10273,https://open.spotify.com/track/7glCSQqV5o6NU88Cn4zPZn
17,"Cuando Te Besé","Becky G",9879,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy
18,Clandestino,Shakira,8984,https://open.spotify.com/track/7DrluKkTviBwCc8AV3VGmf
19,"Girls Like You (feat. Cardi B)","Maroon 5",8979,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
20,"Síguelo Bailando",Ozuna,8786,https://open.spotify.com/track/5Y9fnynLlIvqtM710MHzfz
21,"X - Remix","Nicky Jam",8547,https://open.spotify.com/track/6JjPBQfI2Y8nIjnm65X6Pw
22,"Chica Paranormal","Paulo Londra",8300,https://open.spotify.com/track/2r77vqSZkOktTSgmAOoHsV
23,"Por Perro","Sebastian Yatra",8152,https://open.spotify.com/track/2alIsNw1mqEShbWyO1HXZZ
24,"Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21",7634,https://open.spotify.com/track/1j6xOGusnyXq3l6IryKF3G
25,X,"Nicky Jam",7390,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
26,"No Hay Nadie Más","Sebastian Yatra",7349,https://open.spotify.com/track/3IPJg1sdqLj12kFIndaonN
27,"God's Plan",Drake,7078,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
28,"One Kiss (with Dua Lipa)","Calvin Harris",7037,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
29,"Quiero Repetir",Ozuna,6932,https://open.spotify.com/track/0MIcPSq9n2z5H8TAfEstri
30,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,6904,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
31,"Se Preparó",Ozuna,6823,https://open.spotify.com/track/1m69ELEgE6k5ZWsap40ozt
32,"Dura - Remix","Daddy Yankee",6591,https://open.spotify.com/track/6U2NuJILEOEpW2tVCuqKHb
33,"La Modelo",Ozuna,6512,https://open.spotify.com/track/2m2ZGfJcs3lHWNPzhWH3XH
34,Solita,Ozuna,6509,https://open.spotify.com/track/7rwX0O3RlxqqIjQM8evm5E
35,"No Me Acuerdo",Thalía,6476,https://open.spotify.com/track/00EPIEnX1JFjff8sC6bccd
36,SAD!,XXXTENTACION,6304,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
37,"Loca Remix",Khea,6289,https://open.spotify.com/track/2CRbiMK0W14l71SpDKqKZM
38,"So High","Mr. Vegas",6178,https://open.spotify.com/track/41Q5dO5UhYF7ufAZ9wbWHa
39,"Shape of You","Ed Sheeran",6008,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
40,Criminal,"Natti Natasha",5998,https://open.spotify.com/track/6Za3190Sbw39BBC77WSS1C
41,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","Sofia Reyes",5906,https://open.spotify.com/track/4QtiVmuA88tPQiCOHZuQ5b
42,Hipócrita,"Anuel Aa",5655,https://open.spotify.com/track/6XBjCetHKdO5L9cwMDVffw
43,"Taste (feat. Offset)",Tyga,5639,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
44,Dembow,"Danny Ocean",5624,https://open.spotify.com/track/2EzRdhuoPyNJDlep7lnNf2
45,"Mala Mía",Maluma,5414,https://open.spotify.com/track/62o8KoI44JfN7aYxgTnPvh
46,Bipolar,"Chris Jeday",5283,https://open.spotify.com/track/4WzsycqZkpkS48H9AAAGux
47,"God is a woman","Ariana Grande",5268,https://open.spotify.com/track/7gkWXbAxIYuvtOpcN3p9GJ
48,"No Brainer","DJ Khaled",5170,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
49,Ambiente,"J Balvin",5138,https://open.spotify.com/track/6VrBWh90BiwWmwKtvwWFcq
50,Bella,Wolfine,5069,https://open.spotify.com/track/3xcCix7Jv1Rp90YVmgo35D
51,"SICKO MODE","Travis Scott",4981,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
52,Brindemos,"Anuel Aa",4959,https://open.spotify.com/track/7LeQ55Z5jPBB0ggYJtAiYO
53,"Me Rehúso","Danny Ocean",4926,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
54,Believer,"Imagine Dragons",4804,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
55,"Adiós Amor","Christian Nodal",4639,https://open.spotify.com/track/63bmZnBN1CiJ9sA4qTEe8y
56,"El Farsante - Remix",Ozuna,4631,https://open.spotify.com/track/7uYgVgRSgqluZclLS7wpp4
57,"Mi Cama","Karol G",4528,https://open.spotify.com/track/7sFYVcKSb24qg0dAkqLEFj
58,"rockstar (feat. 21 Savage)","Post Malone",4425,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
59,"Mi Cama - Remix","Karol G",4393,https://open.spotify.com/track/38QmUDpkoYlNbMKvpvAsrE
60,"New Rules","Dua Lipa",4298,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
61,IDGAF,"Dua Lipa",4293,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
62,"Bella - Remix",Wolfine,4261,https://open.spotify.com/track/0SaYeGhSXN0dDWstyNTQ56
63,Casualidad,Nacho,4221,https://open.spotify.com/track/08rwXPBZ2DHOwnL7xaz044
64,Perfect,"Ed Sheeran",4151,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
65,"Epa Wei","Danny Ocean",4130,https://open.spotify.com/track/2QmsKag0YaqhAbpR9Nwmpn
66,"Cuando Nadie Ve",Morat,4114,https://open.spotify.com/track/1Cxd4ZJJ9VOQQpNcpdcZEQ
67,Sensualidad,"Bad Bunny",4100,https://open.spotify.com/track/5hcisvFMidkMJlElTO9Qmw
68,"Escápate Conmigo (feat. Ozuna)",Wisin,4057,https://open.spotify.com/track/1KSqYYJFyfTecXFk9M0prc
69,"Jocelyn Flores",XXXTENTACION,4030,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
70,Esperándote,"Manuel Turizo",4017,https://open.spotify.com/track/1nfyE13arjOuO54HH0zmqj
71,"No Quiero Amarte (feat. Zion & Lennox)","Justin Quiles",3992,https://open.spotify.com/track/5bITfqKGaPakO1l99hOMsI
72,"El Préstamo",Maluma,3986,https://open.spotify.com/track/2XVilv6s9GETnw9PG4T9Mz
73,"Pa Mi (with Ozuna)","Tory Lanez",3892,https://open.spotify.com/track/0CYLDwvvpJQySLA5CvqvSl
74,"La Incondicional","Luis Miguel",3801,https://open.spotify.com/track/6F9yAYUaNbUhdlQyt5uZ3b
75,"Que Va","Alex Sensation",3770,https://open.spotify.com/track/6J1R5wtPXiHiwiPstOSI56
76,"Zum Zum","Daddy Yankee",3752,https://open.spotify.com/track/7lEhOiFtcLXY4P7cuTKuQ8
77,Youngblood,"5 Seconds of Summer",3748,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
78,Calypso,"Luis Fonsi",3739,https://open.spotify.com/track/4178A5NkEjcsGc64jpBO6d
79,"Solo (feat. Demi Lovato)","Clean Bandit",3707,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
