,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"In My Mind",Dynoro,17865,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
2,"Solo (feat. Demi Lovato)","Clean Bandit",14443,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
3,Rise,"Jonas Blue",13285,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
4,"In My Feelings",Drake,12460,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
5,"Jackie Chan",Tiësto,10752,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
6,"Girls Like You (feat. Cardi B)","Maroon 5",9724,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
7,"Born To Be Yours",Kygo,9592,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
8,"No Brainer","DJ Khaled",9358,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
9,"Eastside (with Halsey & Khalid)","benny blanco",8993,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
10,Natural,"Imagine Dragons",8865,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
11,Nevermind,"Dennis Lloyd",8501,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
12,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,8293,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
13,"One Kiss (with Dua Lipa)","Calvin Harris",8217,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
14,"Happy Now",Zedd,7696,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
15,"Body (feat. brando)","Loud Luxury",7583,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
16,"I Like It","Cardi B",6907,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
17,"Better Now","Post Malone",6900,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
18,2002,Anne-Marie,6851,https://open.spotify.com/track/6SFStUDQZNaGPKWOx9ZiJB
19,Youngblood,"5 Seconds of Summer",6770,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
20,SAD!,XXXTENTACION,6578,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
21,"Be Alright","Dean Lewis",6139,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
22,"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam",6043,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
23,"SICKO MODE","Travis Scott",6038,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
24,"I'm a Mess","Bebe Rexha",6018,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
25,Believer,"Imagine Dragons",5982,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
26,"Shape of You","Ed Sheeran",5966,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
27,Shotgun,"George Ezra",5855,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
28,"God is a woman","Ariana Grande",5810,https://open.spotify.com/track/7gkWXbAxIYuvtOpcN3p9GJ
29,Thunder,"Imagine Dragons",5809,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
30,"Taste (feat. Offset)",Tyga,5678,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
31,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",5604,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
32,Darkside,"Alan Walker",5531,https://open.spotify.com/track/1snWlbcbgQpJfknoI30DWG
33,"rockstar (feat. 21 Savage)","Post Malone",5389,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
34,"Lucid Dreams","Juice WRLD",5267,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
35,STARGAZING,"Travis Scott",5260,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
36,FRIENDS,Marshmello,5110,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
37,"Ocean (feat. Khalid)","Martin Garrix",5016,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
38,IDGAF,"Dua Lipa",4956,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
39,"Remind Me to Forget",Kygo,4864,https://open.spotify.com/track/6xTU6B6nFwKKTSZ9ySXS80
40,"Beautiful (feat. Camila Cabello)",Bazzi,4806,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
41,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,4805,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
42,Havana,"Camila Cabello",4804,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
43,"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta",4765,https://open.spotify.com/track/2lYTJK94hb0fd1LQtb6Dhk
44,"Without You (feat. Sandro Cavazza)",Avicii,4735,https://open.spotify.com/track/6Pgkp4qUoTmJIPn7ReaGxL
45,"More Than You Know","Axwell /\ Ingrosso",4672,https://open.spotify.com/track/6h5PAsRni4IRlxWr6uDPTP
46,"Dancing in the Moonlight",Jubel,4654,https://open.spotify.com/track/5ow0sNF1zSqp71Ix5jEXWU
47,"The Middle",Zedd,4639,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
48,"no tears left to cry","Ariana Grande",4597,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
49,Flames,"David Guetta",4503,https://open.spotify.com/track/33IOhptvC2Qoy2UhjiHXLV
50,"High On Life (feat. Bonn)","Martin Garrix",4470,https://open.spotify.com/track/4ut5G4rgB1ClpMTMfjoIuy
51,Zlatokop,Earth,4380,https://open.spotify.com/track/0kOIfVOjrMJAZHyMJx1ThW
52,"Whatever It Takes","Imagine Dragons",4026,https://open.spotify.com/track/6Qn5zhYkTa37e91HC1D7lb
53,"Don’t Matter To Me (with Michael Jackson)",Drake,4014,https://open.spotify.com/track/6G8kHiVZ1jW7vHMPVRNZU0
54,changes,XXXTENTACION,3914,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
55,"Praise The Lord (Da Shine)","A$AP Rocky",3764,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
56,Moonlight,XXXTENTACION,3714,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
57,"If You're Over Me","Years & Years",3638,https://open.spotify.com/track/1oc3jna2ablnfIKLYbKujl
