,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Melodien (feat. Juju)","Capital Bra",604187,https://open.spotify.com/track/5d35jcJj7WjDQBOHCHPY6t
2,"In My Mind",Dynoro,566703,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
3,"500 PS","Bonez MC",548901,https://open.spotify.com/track/641R77CBy4bOLGRcA9sgHy
4,Casanova,"Summer Cem",310421,https://open.spotify.com/track/0jB0RNZIfaihaDKNmdrI40
5,"In My Feelings",Drake,302072,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
6,"Solo (feat. Demi Lovato)","Clean Bandit",293220,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
7,Rise,"Jonas Blue",289626,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
8,"Body (feat. brando)","Loud Luxury",279634,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
9,Mercedes,Eno,279467,https://open.spotify.com/track/0VNlBq4JKqvlIlveSwC4WJ
10,"Bella ciao - HUGEL Remix","El Profesor",276249,https://open.spotify.com/track/1MFSD0AkPk8Yq7TDEhrHcb
11,40K,Ufo361,261451,https://open.spotify.com/track/5al97HZnNQz1JNmYlHqiAa
12,"GIGI (ZKITTLEZ)",Gringo,258946,https://open.spotify.com/track/0w7Yk16SqMY7BioZktmcYm
13,"Girls Like You (feat. Cardi B)","Maroon 5",249944,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
14,Nevermind,"Dennis Lloyd",242196,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
15,"Sex Tape","Katja Krasavice",231641,https://open.spotify.com/track/1zOMSnF631rlPHlS4hH9rV
16,"Taste (feat. Offset)",Tyga,230608,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
17,"Für Euch alle (feat. Samra & Capital Bra)",Bushido,228349,https://open.spotify.com/track/78CLZUWhsxIDwObCKOh1fh
18,"Nike Pullover",Azet,228201,https://open.spotify.com/track/4rAN7PfOWxyR9MAeUd7wLy
19,"No Brainer","DJ Khaled",213166,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
20,Ballin,Luciano,212749,https://open.spotify.com/track/1ZxBGZ7pxkh0VwFRp6biXk
21,"Blah Blah Blah","Armin van Buuren",202728,https://open.spotify.com/track/0tp6mwUt99QnfY95T30Lqj
22,2002,Anne-Marie,202020,https://open.spotify.com/track/6SFStUDQZNaGPKWOx9ZiJB
23,Habibo,Veysel,197865,https://open.spotify.com/track/194IS9NnPN3clG6v3BakTR
24,"Jackie Chan",Tiësto,197605,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
25,"Eastside (with Halsey & Khalid)","benny blanco",196903,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
26,"One Night Stand","Capital Bra",196384,https://open.spotify.com/track/3AXtDUSO78KrGa9Rq8rWUS
27,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,193416,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
28,"Better Now","Post Malone",185992,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
29,"Oh Child","Robin Schulz",182760,https://open.spotify.com/track/2xw9PXlt8IaCWZjfpJ2HPL
30,Copacabana,"Leon Machère",180066,https://open.spotify.com/track/214Mx6MSJhtaO1uPtZGqLH
31,Neymar,"Capital Bra",179472,https://open.spotify.com/track/7ecGSqT8Ulbzhs5QwgWGVN
32,Shotgun,"George Ezra",178886,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
33,"Born To Be Yours",Kygo,178201,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
34,Safe,"Nico Santos",176324,https://open.spotify.com/track/5B7AL4ZcRVNsUzR8WUVxmT
35,"Toto (feat. RAF Camora)",Noizy,169867,https://open.spotify.com/track/1fyvQWmRbW81M0xXKI1Rrk
36,"Lucid Dreams","Juice WRLD",165672,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
37,"One Kiss (with Dua Lipa)","Calvin Harris",161259,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
38,"Jennie (feat. R. City, Bori)","Felix Jaehn",156142,https://open.spotify.com/track/1iBOPEE6fIMsl7GMMcEyCF
39,Penthouse,Eno,150853,https://open.spotify.com/track/43aHoeHvYOBBvzZdopsA4e
