,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Estamos Bien","Bad Bunny",12186,https://open.spotify.com/track/7glCSQqV5o6NU88Cn4zPZn
2,"Vaina Loca",Ozuna,11877,https://open.spotify.com/track/1s2B5cndbqK8rPJEIcKJRQ
3,Hipócrita,"Anuel Aa",11215,https://open.spotify.com/track/6XBjCetHKdO5L9cwMDVffw
4,Brindemos,"Anuel Aa",10755,https://open.spotify.com/track/7LeQ55Z5jPBB0ggYJtAiYO
5,"Te Boté - Remix","Nio Garcia",10174,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
6,"Mala Mía",Maluma,10074,https://open.spotify.com/track/62o8KoI44JfN7aYxgTnPvh
7,"In My Feelings",Drake,9148,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
8,"No Es Justo","J Balvin",8926,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7
9,Asesina,Brytiago,8680,https://open.spotify.com/track/6rbhaJsE4uLzpPf8WYSHDK
10,"Toda - Remix","Alex Rose",8499,https://open.spotify.com/track/7nD2JPaxIKUdxd2UWgnaGL
11,Triste,"Bryant Myers",8422,https://open.spotify.com/track/5MNS5FF4LrTX0jIaI0gory
12,"Madura (feat. Bad Bunny)",Cosculluela,8049,https://open.spotify.com/track/0r9d60ZYPAlFHq8qnUtkXN
13,"La Player (Bandolera)","Zion & Lennox",7896,https://open.spotify.com/track/0VKkyBKCXyR99navhVRqcP
14,"Quiere Beber","Anuel Aa",7649,https://open.spotify.com/track/3rPAD722s5FFNnwjC91t7Z
15,"I Like It","Cardi B",7257,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
16,Unica,Ozuna,7027,https://open.spotify.com/track/6752EZMgXswvRBH3N2PilO
17,"Sin Pijama","Becky G",6672,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
18,"X - Remix","Nicky Jam",5963,https://open.spotify.com/track/6JjPBQfI2Y8nIjnm65X6Pw
19,Culpables,"Manuel Turizo",5960,https://open.spotify.com/track/3RD0PGolM0mETGHaprwgMn
20,"Me Niego",Reik,5171,https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T
21,Satisfacción,"Nicky Jam",5028,https://open.spotify.com/track/21WvAGxPUNJARcZoSqswd7
22,Clandestino,Shakira,5003,https://open.spotify.com/track/7DrluKkTviBwCc8AV3VGmf
23,"Loca Remix",Khea,4956,https://open.spotify.com/track/2CRbiMK0W14l71SpDKqKZM
24,Solita,Ozuna,4796,https://open.spotify.com/track/7rwX0O3RlxqqIjQM8evm5E
25,Original,Arcangel,4726,https://open.spotify.com/track/1LBlcCtOrKITXpEp1hnNpj
26,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,4684,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
27,"Bella - Remix",Wolfine,4577,https://open.spotify.com/track/0SaYeGhSXN0dDWstyNTQ56
28,"Girls Like You (feat. Cardi B)","Maroon 5",4523,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
29,Bipolar,"Chris Jeday",4436,https://open.spotify.com/track/4WzsycqZkpkS48H9AAAGux
30,"Sientate en Ese Deo","El Alfa",4381,https://open.spotify.com/track/7no50s2we7Ap7UsvHtn6Px
31,"Dura - Remix","Daddy Yankee",4257,https://open.spotify.com/track/6U2NuJILEOEpW2tVCuqKHb
32,Marinero,Maluma,4239,https://open.spotify.com/track/6x5LBP3nYXVdIDoomChGr3
33,"Na' Nuevo","Anuel Aa",4207,https://open.spotify.com/track/02LKuab9xcpE1dGc5Gd8iM
34,Hakuna,"Lo Blanquito",4010,https://open.spotify.com/track/0A5hH3ggxoGDZgur4BnQJd
35,"Mi Cama - Remix","Karol G",3978,https://open.spotify.com/track/38QmUDpkoYlNbMKvpvAsrE
36,Maniqui,Chimbala,3867,https://open.spotify.com/track/0yrvDuVVhnk51mlPVoxxcY
37,"Síguelo Bailando",Ozuna,3788,https://open.spotify.com/track/5Y9fnynLlIvqtM710MHzfz
38,"Zum Zum","Daddy Yankee",3752,https://open.spotify.com/track/7lEhOiFtcLXY4P7cuTKuQ8
39,"No Me Acuerdo",Thalía,3715,https://open.spotify.com/track/00EPIEnX1JFjff8sC6bccd
40,"El Préstamo",Maluma,3644,https://open.spotify.com/track/2XVilv6s9GETnw9PG4T9Mz
41,"Duro y Suave","Leslie Grace",3555,https://open.spotify.com/track/31M5m42C3EGlbydf9XB5to
42,"Cuando Te Besé","Becky G",3411,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy
43,"Modo de Avión","Anuel Aa",3411,https://open.spotify.com/track/6BCEo2rSKFYVubwhXl9KxK
44,Yeezy,"Anuel Aa",3397,https://open.spotify.com/track/4CzA04WEvvXF6ItpzVTP4b
45,Naturaleza,"Anuel Aa",3337,https://open.spotify.com/track/1icm3g1X4j3tFk4z2PrauY
46,"One Kiss (with Dua Lipa)","Calvin Harris",3332,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
47,"La Gloria del Mejor (feat. Itawe)","Lapiz Conciente",3264,https://open.spotify.com/track/0NT2jchEr7OdslDc9kirAH
48,"Pensando en Ti","Anuel Aa",3256,https://open.spotify.com/track/3aY5VP7fEtVHfEc1o8eRNK
49,"Mi Forma De Ser","Ala Jaza",3248,https://open.spotify.com/track/4v5wPNrpiFOthoorvTN8ho
50,"pArty Y plAya - Remix","Milo K",3033,https://open.spotify.com/track/1X2fEcrXnQzeUoegpnZasK
51,X,"Nicky Jam",2873,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
52,"No Brainer","DJ Khaled",2825,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
53,"Tú No Lo Amas","Anuel Aa",2818,https://open.spotify.com/track/5Wr2fVAVxcEfFwvJhIInH7
54,"God's Plan",Drake,2795,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
55,"Confia Remix",Juhn,2687,https://open.spotify.com/track/1Pa6vEvBMLyHcgNxU8yk23
56,"El Farsante - Remix",Ozuna,2673,https://open.spotify.com/track/7uYgVgRSgqluZclLS7wpp4
57,Criminal,"Natti Natasha",2653,https://open.spotify.com/track/6Za3190Sbw39BBC77WSS1C
58,Ambiente,"J Balvin",2625,https://open.spotify.com/track/6VrBWh90BiwWmwKtvwWFcq
59,"Por Perro","Sebastian Yatra",2611,https://open.spotify.com/track/2alIsNw1mqEShbWyO1HXZZ
60,"Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21",2523,https://open.spotify.com/track/1j6xOGusnyXq3l6IryKF3G
61,Bandolera,"Anuel Aa",2500,https://open.spotify.com/track/3WapscF576b4Gw6tED2kWL
62,Nonstop,Drake,2484,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
63,"Te Amo","Piso 21",2471,https://open.spotify.com/track/2RVrdr062uLFxXwIxwdXPH
64,"La Modelo",Ozuna,2418,https://open.spotify.com/track/2m2ZGfJcs3lHWNPzhWH3XH
65,"SICKO MODE","Travis Scott",2403,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
66,"Quiero Repetir",Ozuna,2369,https://open.spotify.com/track/0MIcPSq9n2z5H8TAfEstri
67,"Mi Forma de Ser",Farruko,2358,https://open.spotify.com/track/752g22kc1OSv5Qb8ywwHYE
68,"Se Preparó",Ozuna,2346,https://open.spotify.com/track/1m69ELEgE6k5ZWsap40ozt
69,SAD!,XXXTENTACION,2326,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
70,"No Quiero Amarte (feat. Zion & Lennox)","Justin Quiles",2317,https://open.spotify.com/track/5bITfqKGaPakO1l99hOMsI
71,"God is a woman","Ariana Grande",2238,https://open.spotify.com/track/7gkWXbAxIYuvtOpcN3p9GJ
72,Balenciaga,Ozuna,2221,https://open.spotify.com/track/3iIZvct75tkk1CwbqVjsry
