,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Vaina Loca",Ozuna,23610,https://open.spotify.com/track/1s2B5cndbqK8rPJEIcKJRQ
2,"No Es Justo","J Balvin",23102,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7
3,"Sin Pijama","Becky G",19241,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
4,"Mala Mía",Maluma,19183,https://open.spotify.com/track/62o8KoI44JfN7aYxgTnPvh
5,"Te Boté - Remix","Nio Garcia",18961,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
6,"Cuando Te Besé","Becky G",18015,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy
7,"Por Perro","Sebastian Yatra",16548,https://open.spotify.com/track/2alIsNw1mqEShbWyO1HXZZ
8,Culpables,"Manuel Turizo",15640,https://open.spotify.com/track/3RD0PGolM0mETGHaprwgMn
9,"La Player (Bandolera)","Zion & Lennox",15591,https://open.spotify.com/track/0VKkyBKCXyR99navhVRqcP
10,"No Me Acuerdo",Thalía,14825,https://open.spotify.com/track/00EPIEnX1JFjff8sC6bccd
11,Asesina,Brytiago,14472,https://open.spotify.com/track/6rbhaJsE4uLzpPf8WYSHDK
12,Clandestino,Shakira,13810,https://open.spotify.com/track/7DrluKkTviBwCc8AV3VGmf
13,"Me Niego",Reik,13073,https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T
14,Justicia,"Silvestre Dangond",12463,https://open.spotify.com/track/6ipp8Dhs33KinlF4BStgca
15,"Te Amo","Piso 21",12140,https://open.spotify.com/track/2RVrdr062uLFxXwIxwdXPH
16,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","Sofia Reyes",11956,https://open.spotify.com/track/4QtiVmuA88tPQiCOHZuQ5b
17,"Ya No Tiene Novio","Sebastian Yatra",11681,https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu
18,Calypso,"Luis Fonsi",11575,https://open.spotify.com/track/4178A5NkEjcsGc64jpBO6d
19,"In My Feelings",Drake,11504,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
