,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,TELÉFONO,Aitana,350059,https://open.spotify.com/track/5h8VHxOBK1VWWj46T8fSly
2,"Vaina Loca",Ozuna,341927,https://open.spotify.com/track/1s2B5cndbqK8rPJEIcKJRQ
3,"Sin Pijama","Becky G",286461,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
4,"Ni La Hora","Ana Guerra",277049,https://open.spotify.com/track/1he4G9w0zh5GokInpOSINW
5,"Ya No Quiero Ná","Lola Indigo",270537,https://open.spotify.com/track/2A2Q4CYBcVvBF2OqgJ3OWX
6,Calypso,"Luis Fonsi",250953,https://open.spotify.com/track/4178A5NkEjcsGc64jpBO6d
7,Usted,"Juan Magán",245021,https://open.spotify.com/track/79HTe42PihWUUq4BDjcuCq
8,"Te Boté - Remix","Nio Garcia",236775,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
9,"No Es Justo","J Balvin",214735,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7
10,"Bien Duro","C. Tangana",214078,https://open.spotify.com/track/3joo84oco9CD4dBsKNWRRW
11,Clandestino,Shakira,192537,https://open.spotify.com/track/7DrluKkTviBwCc8AV3VGmf
12,"La Cintura","Alvaro Soler",183991,https://open.spotify.com/track/19MBk3PbNFE36wqIqkMq9H
13,Asesina,Brytiago,174306,https://open.spotify.com/track/6rbhaJsE4uLzpPf8WYSHDK
14,"MALAMENTE - Cap.1: Augurio",ROSALÍA,163868,https://open.spotify.com/track/5zOAudPQIs5U8zP6LQGHmH
15,"X - Remix","Nicky Jam",162583,https://open.spotify.com/track/6JjPBQfI2Y8nIjnm65X6Pw
16,"Mi Cama - Remix","Karol G",157145,https://open.spotify.com/track/38QmUDpkoYlNbMKvpvAsrE
17,"Azukita (Steve Aoki, Daddy Yankee, Play-N-Skillz & Elvis Crespo)","Steve Aoki",156912,https://open.spotify.com/track/5e45GhSF18JYoLpaq2F48h
18,"No Me Acuerdo",Thalía,155791,https://open.spotify.com/track/00EPIEnX1JFjff8sC6bccd
19,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","Sofia Reyes",153642,https://open.spotify.com/track/4QtiVmuA88tPQiCOHZuQ5b
20,"Duro y Suave","Leslie Grace",153126,https://open.spotify.com/track/31M5m42C3EGlbydf9XB5to
21,"Estamos Bien","Bad Bunny",148876,https://open.spotify.com/track/7glCSQqV5o6NU88Cn4zPZn
22,"In My Feelings",Drake,141146,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
23,"I Like It","Cardi B",141039,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
24,"Déjala Que Baile",Melendi,137162,https://open.spotify.com/track/2KK9N6iBAisA0booTu3bGd
25,"Me Niego",Reik,135614,https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T
26,"PIENSO EN TU MIRÁ - Cap.3: Celos",ROSALÍA,130791,https://open.spotify.com/track/0qKxqVcFCMmrjjvIgjjEE6
27,"La Player (Bandolera)","Zion & Lennox",130547,https://open.spotify.com/track/0VKkyBKCXyR99navhVRqcP
28,"Lo Malo",Aitana,127368,https://open.spotify.com/track/5bhDL4GgUvr5LBrpjqyrte
29,"Dura - Remix","Daddy Yankee",126841,https://open.spotify.com/track/6U2NuJILEOEpW2tVCuqKHb
30,Unica,Ozuna,123493,https://open.spotify.com/track/6752EZMgXswvRBH3N2PilO
31,Mujeres,"Mozart La Para",123131,https://open.spotify.com/track/6xLvYhLOW2oETJoZv8ChU8
32,"Madura (feat. Bad Bunny)",Cosculluela,115093,https://open.spotify.com/track/0r9d60ZYPAlFHq8qnUtkXN
33,"Cuando Te Besé","Becky G",113804,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy
34,"Bella - Remix",Wolfine,113413,https://open.spotify.com/track/0SaYeGhSXN0dDWstyNTQ56
35,"Cuando Nadie Ve",Morat,112532,https://open.spotify.com/track/1Cxd4ZJJ9VOQQpNcpdcZEQ
36,Brillo,"J Balvin",111031,https://open.spotify.com/track/3vgiIJW3iSQRRvgYiW86i9
37,"Solo (feat. Demi Lovato)","Clean Bandit",109430,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
38,"Mala Mía",Maluma,108677,https://open.spotify.com/track/62o8KoI44JfN7aYxgTnPvh
39,"No Quiero Amarte (feat. Zion & Lennox)","Justin Quiles",107822,https://open.spotify.com/track/5bITfqKGaPakO1l99hOMsI
40,"A Partir De Hoy","David Bisbal",97486,https://open.spotify.com/track/7ojH6H4wE6XJNgzU4uvNc8
41,"El Anillo - Remix","Jennifer Lopez",94028,https://open.spotify.com/track/3wyMqxd4rILBpYlpQRQ58h
42,Hipócrita,"Anuel Aa",88992,https://open.spotify.com/track/6XBjCetHKdO5L9cwMDVffw
43,"Le Encanta","Juan Magán",88381,https://open.spotify.com/track/68pbwCjIAkmNaTYaAfRtHC
44,"Síguelo Bailando",Ozuna,88065,https://open.spotify.com/track/5Y9fnynLlIvqtM710MHzfz
45,Sirena,"Cali Y El Dandee",86306,https://open.spotify.com/track/1juHIWqgFiDFAKuEBP24Lt
46,Fuego,"Eleni Foureira",84799,https://open.spotify.com/track/4TwWOcvjY1qt3QJvtveAGm
47,"La Cintura (feat. Flo Rida & TINI) - Remix","Alvaro Soler",82884,https://open.spotify.com/track/56gH0zGe3SP9SGNoQ2pWwn
48,"One Kiss (with Dua Lipa)","Calvin Harris",80660,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
49,"Déjate Llevar","Juan Magán",78687,https://open.spotify.com/track/4hXAdUl4nAnSPc9thzP2E2
50,"Por Perro","Sebastian Yatra",78491,https://open.spotify.com/track/2alIsNw1mqEShbWyO1HXZZ
51,"Girls Like You (feat. Cardi B)","Maroon 5",76963,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
52,"Él no soy yo","Blas Cantó",67885,https://open.spotify.com/track/64049BEBjRMbLOoC7DFVeu
53,"Llorando en la Limo","C. Tangana",66892,https://open.spotify.com/track/3YURfhPPT7GipmI7pIj0m3
54,"Mad Love","Sean Paul",63794,https://open.spotify.com/track/4dSoDnmR9opAQ8KxUc9SbC
55,"Ya Es Hora","Ana Mena",62858,https://open.spotify.com/track/2SKNarYKa7W0iCOq7u96N8
56,"El Préstamo",Maluma,60738,https://open.spotify.com/track/2XVilv6s9GETnw9PG4T9Mz
57,Peligrosa,"J Balvin",54450,https://open.spotify.com/track/3Nkqp3NSGWMXVVO08zGpN7
58,"Mi Cama","Karol G",54241,https://open.spotify.com/track/7sFYVcKSb24qg0dAkqLEFj
59,"La llave (feat. Piso 21)","Pablo Alborán",53929,https://open.spotify.com/track/0nJUoF6tA031X6zvX9ee4R
60,Ambiente,"J Balvin",53836,https://open.spotify.com/track/6VrBWh90BiwWmwKtvwWFcq
61,"Jackie Chan",Tiësto,51307,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
62,X,"Nicky Jam",50705,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
63,"No Brainer","DJ Khaled",50254,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
64,"Esta Vez",Cepeda,49633,https://open.spotify.com/track/4xLg8ilWzOYwHeB92ZDmoD
65,SAD!,XXXTENTACION,48544,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
66,"El Anillo","Jennifer Lopez",48175,https://open.spotify.com/track/2SpfMQ5TuKsMj1trNwrLVA
67,Rise,"Jonas Blue",47681,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
68,Dicen,"Antonio Orozco",47069,https://open.spotify.com/track/1tHWjExSM4oJZRzC8UO0Sg
69,Casualidad,Nacho,47036,https://open.spotify.com/track/08rwXPBZ2DHOwnL7xaz044
70,"Jaque Mate","Maikel Delacalle",46948,https://open.spotify.com/track/7cw9HASLT9V2fvWerKHV32
71,FRIENDS,Marshmello,46806,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
72,#Idiota,"Juan Magán",46723,https://open.spotify.com/track/5K76snkgJAafrEjyjQFdHx
73,"Qué Tienes Tú",Dvicio,45648,https://open.spotify.com/track/4txQPJDlvU72lC6EMhT7m9
74,"God is a woman","Ariana Grande",43698,https://open.spotify.com/track/7gkWXbAxIYuvtOpcN3p9GJ
75,Brindemos,"Anuel Aa",43487,https://open.spotify.com/track/7LeQ55Z5jPBB0ggYJtAiYO
76,"Te Amo","Piso 21",43360,https://open.spotify.com/track/2RVrdr062uLFxXwIxwdXPH
77,"Besos En Guerra",Morat,43352,https://open.spotify.com/track/5KgdtjmglXPjJNKvMvSjgo
78,Triste,"Bryant Myers",42301,https://open.spotify.com/track/5MNS5FF4LrTX0jIaI0gory
79,"Chica Paranormal","Paulo Londra",42276,https://open.spotify.com/track/2r77vqSZkOktTSgmAOoHsV
80,Euromillón,"Rels B",41993,https://open.spotify.com/track/3PkLiVZFchdmUluS9QL8fv
81,Dembow,"Danny Ocean",41476,https://open.spotify.com/track/2EzRdhuoPyNJDlep7lnNf2
82,Bipolar,"Chris Jeday",40527,https://open.spotify.com/track/4WzsycqZkpkS48H9AAAGux
83,"Better Now","Post Malone",40475,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
84,"Zum Zum","Daddy Yankee",40400,https://open.spotify.com/track/7lEhOiFtcLXY4P7cuTKuQ8
85,"Toda - Remix","Alex Rose",40008,https://open.spotify.com/track/7nD2JPaxIKUdxd2UWgnaGL
86,"To My Love - Tainy Remix","Bomba Estéreo",39531,https://open.spotify.com/track/5LciLoxa1gK70yIUeoHgRx
87,"Échame La Culpa","Luis Fonsi",39006,https://open.spotify.com/track/2hl6q70unbviGo3g1R7uFx
88,Criminal,"Natti Natasha",38471,https://open.spotify.com/track/6Za3190Sbw39BBC77WSS1C
89,Guerrera,DELLAFUENTE,37809,https://open.spotify.com/track/3Q6zROQvMXRtR9NYfDpNWL
90,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,37790,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
91,Original,Arcangel,36858,https://open.spotify.com/track/1LBlcCtOrKITXpEp1hnNpj
92,"Eastside (with Halsey & Khalid)","benny blanco",36750,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
93,"Antes de Morirme (feat. Rosalía)","C. Tangana",36260,https://open.spotify.com/track/7aFBy1CBLGnZE1Iv6TvEZE
94,"Me Rehúso","Danny Ocean",34080,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
95,"Shape of You","Ed Sheeran",33847,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
96,"no tears left to cry","Ariana Grande",33750,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
97,"Let M3 Xplain","Kidd Keo",33554,https://open.spotify.com/track/52zLWUiM0kyUPTokyAsOW7
98,"Quiere Beber","Anuel Aa",33423,https://open.spotify.com/track/3rPAD722s5FFNnwjC91t7Z
99,"El Clavo - Remix","Prince Royce",33281,https://open.spotify.com/track/6bI00brFpeprqCDqKouEJS
100,"El Farsante - Remix",Ozuna,33228,https://open.spotify.com/track/7uYgVgRSgqluZclLS7wpp4
101,"Epa Wei","Danny Ocean",33088,https://open.spotify.com/track/2QmsKag0YaqhAbpR9Nwmpn
102,"La reina del local (feat. Manuel Delgado)","Sergio Contreras",32964,https://open.spotify.com/track/11jKfAyVtsZlo1vtlrui8G
103,Flames,"David Guetta",32723,https://open.spotify.com/track/33IOhptvC2Qoy2UhjiHXLV
104,Solita,Ozuna,32463,https://open.spotify.com/track/7rwX0O3RlxqqIjQM8evm5E
105,"God's Plan",Drake,32371,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
106,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,32307,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
107,"Nena Maldicion (feat. Lenny Tavarez)","Paulo Londra",32251,https://open.spotify.com/track/3TnhQSRwT3AVMdXw5JPq0x
108,"Loca Remix",Khea,31855,https://open.spotify.com/track/2CRbiMK0W14l71SpDKqKZM
109,"Me Pelea",DELLAFUENTE,31844,https://open.spotify.com/track/7vS8ctxI2ANcyt5IYgRY8Y
110,Dieciocho,"Dani Martín",31504,https://open.spotify.com/track/3nN5n70vM1tAMWBDZaRbxS
111,"Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21",31482,https://open.spotify.com/track/1j6xOGusnyXq3l6IryKF3G
112,"Miss U","Kidd Keo",31457,https://open.spotify.com/track/17NW5LLmN6PXrUdknZ6iT1
113,Vuelve,Beret,31372,https://open.spotify.com/track/3jMwSd2zqGOwJStCatpjAr
114,Dicen,"Matt Hunter",30938,https://open.spotify.com/track/4cfoVJxpHqUqTvBrG1RTyi
115,Mayores,"Becky G",30576,https://open.spotify.com/track/7JNh1cfm0eXjqFVOzKLyau
116,"Born To Be Yours",Kygo,30234,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
117,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",29745,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
118,Nevermind,"Dennis Lloyd",29709,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
119,"Lo siento",Beret,29553,https://open.spotify.com/track/7HNJNqsBZ7qc6UmYEq8bie
120,"Buenos Genes","Rels B",29519,https://open.spotify.com/track/5I2I0xdHPV5opTDQbItBIb
121,"La Llamada",Leiva,29447,https://open.spotify.com/track/5ZCamgcqvkckdf2FdfYuth
122,"In My Mind",Dynoro,29278,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
123,Medicina,Anitta,28942,https://open.spotify.com/track/4R5xvs5X0phd0EYWyGigju
124,"Touchdown - Radio Edit","Kidd Keo",28894,https://open.spotify.com/track/6Llaige5yDMgZDsuNqeoxs
125,"Vamo a da una Vuelta - Remix","Bryant Myers",28882,https://open.spotify.com/track/0XY2ujsi67FQSugfC20WLT
126,Marinero,Maluma,28759,https://open.spotify.com/track/6x5LBP3nYXVdIDoomChGr3
127,Corazón,Maluma,28529,https://open.spotify.com/track/5cepAtqnEQ6yVG6088zMMu
128,"Confia Remix",Juhn,28457,https://open.spotify.com/track/1Pa6vEvBMLyHcgNxU8yk23
129,"La Vida Sin Ti","Piso 21",27622,https://open.spotify.com/track/1RvL7eHoeUolnQbWm2Hnba
130,"El Arrepentido",Melendi,27575,https://open.spotify.com/track/42uFuC0Ob1JykwGlcrllDl
131,Ficción,Costa,27467,https://open.spotify.com/track/4AJg5mpsG8tIFnI7vWiUhK
132,Familiar,"Liam Payne",27107,https://open.spotify.com/track/0Y4hwUppbGc8aIBmiTz30A
133,Amorfoda,"Bad Bunny",27068,https://open.spotify.com/track/3ITvHA9zhZZdBJsOsAUegF
134,"Pa Dentro",Juanes,26897,https://open.spotify.com/track/7flNdUykV5LYDRv8wQDbsx
135,IDGAF,"Dua Lipa",26888,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
136,"Body (feat. brando)","Loud Luxury",26795,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
137,"No Hay Nadie Más","Sebastian Yatra",26558,https://open.spotify.com/track/3IPJg1sdqLj12kFIndaonN
138,Natural,"Imagine Dragons",26496,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
139,"The Middle",Zedd,26248,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
140,"She Don't Give a Fo",Duki,26187,https://open.spotify.com/track/6S3yaMAF7jB4GfjXdYLsD0
141,Havana,"Camila Cabello",26168,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
142,"La isla del Amor (feat. Maki)","Demarco Flamenco",26162,https://open.spotify.com/track/0Gw9QC3RqHmTdGqHIWLHb6
143,Sirenas,Taburete,26161,https://open.spotify.com/track/4unOsvr9C2NqI9aJXrxpCy
144,Moonlight,XXXTENTACION,26150,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
145,Dura,"Daddy Yankee",26070,https://open.spotify.com/track/6KuqAtoeVzxAYOaMveLNpH
146,"Felices los 4",Maluma,26022,https://open.spotify.com/track/1RouRzlg8OKFeqc6LvdxmB
147,"Taste (feat. Offset)",Tyga,25940,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
148,"Ocean (feat. Khalid)","Martin Garrix",25762,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
149,changes,XXXTENTACION,25707,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
150,"Happy Now",Zedd,25572,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
151,"Hay Algo En Mí","Miriam Rodríguez",25495,https://open.spotify.com/track/09x8rAXCQ9adjcT12RF0ra
152,"Jocelyn Flores",XXXTENTACION,25461,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
153,"Por Una Vez Más","Roi Méndez",25333,https://open.spotify.com/track/0emKNJjmGWpv1VESGUdnFp
154,Believer,"Imagine Dragons",25322,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
155,"Se Preparó",Ozuna,25256,https://open.spotify.com/track/1m69ELEgE6k5ZWsap40ozt
