,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Naarmuja (feat. IBE)",Benjamin,62084,https://open.spotify.com/track/4uAFn0BeYwIkALu1ObuzXA
2,"In My Mind",Dynoro,60108,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
3,"Yhen elämän juttu",ABREU,53713,https://open.spotify.com/track/0IXLyheDMnOQ4mmTrScjAR
4,XTC,"Lukas Leon",47883,https://open.spotify.com/track/17OUBczN4xbjuCDcx0xmXL
5,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,44262,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
6,"In My Feelings",Drake,43746,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
7,"Lucid Dreams","Juice WRLD",42564,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
8,"Vielä Kerran",Evelina,40720,https://open.spotify.com/track/2GcKgmUSo2U2PI945yxk2X
9,"Solo (feat. Demi Lovato)","Clean Bandit",40207,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
10,Aallot,Kymppilinja,39853,https://open.spotify.com/track/05GbDEn0ORuEzBUgUJKWiQ
11,Darkside,"Alan Walker",39032,https://open.spotify.com/track/1snWlbcbgQpJfknoI30DWG
12,Jacuzzi,SANNI,37143,https://open.spotify.com/track/48BhFviee97yuYMh4IqMXJ
13,"Roska silmäs",TIPPA,35917,https://open.spotify.com/track/0NphthcD8OIJp5xAaZnwpQ
14,"Ignite (feat. SEUNGRI)",K-391,33375,https://open.spotify.com/track/0UMLejbZXf7YVgnfxURvVr
15,"Keho Puhuu","Anna Puu",33046,https://open.spotify.com/track/6PHP9rUBCgEK0kdEpYtSX5
16,"No Brainer","DJ Khaled",30201,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
17,Luuseri,"Aleksanteri Hakaniemi",29980,https://open.spotify.com/track/0s8A5JK6GPggOi7nLNmEIA
18,"Better Now","Post Malone",28529,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
19,"Girls Like You (feat. Cardi B)","Maroon 5",28106,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
20,"Taste (feat. Offset)",Tyga,27764,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
