,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,91's,PNL,386317,https://open.spotify.com/track/58st6r10Ze6QomHs0BMUA8
2,"Air Max",Rim'K,230640,https://open.spotify.com/track/2XESFfYekQ0mRau2GXjT3E
3,W.L.G,Niska,191768,https://open.spotify.com/track/13E2wgUjmdunrlq3Vbxv8T
4,"Ramenez la coupe à la maison",Vegedream,166692,https://open.spotify.com/track/1m0UFnuTktOkksvjbF9z0m
5,"In My Feelings",Drake,144607,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
6,"Ma 6t a craqué (feat. Ninho)",Kpoint,141153,https://open.spotify.com/track/2NUIWpL6IsYGkwfSN7basS
7,Taga,"Hornet La Frappe",132569,https://open.spotify.com/track/4xrIWVwDYmJ5KFXinj82TG
8,"Solo (feat. Demi Lovato)","Clean Bandit",123874,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
9,Django,Dadju,123836,https://open.spotify.com/track/14hLSMLJ86sHRklJ62tH58
10,Nevermind,"Dennis Lloyd",121715,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
11,"Complètement sonné",KeBlack,120552,https://open.spotify.com/track/4bZOVCf1wiNELuCH34rFDl
12,"Feu de bois",Damso,119066,https://open.spotify.com/track/4L0Iwsk1s8cbdBcEgdm8K5
13,"Billets verts",Maes,118683,https://open.spotify.com/track/61SYuUg9rokbvIPxzrhxd0
14,"In My Mind",Dynoro,114878,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
15,"Girls Like You (feat. Cardi B)","Maroon 5",109761,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
16,Woah,Sofiane,106638,https://open.spotify.com/track/196cSZjrDdgaJILT3cpfYl
17,Djadja,"Aya Nakamura",106488,https://open.spotify.com/track/3XfnssSD9HMQ9LhVOJvXTE
18,Santana,Alonzo,105318,https://open.spotify.com/track/0G0WC5ghZRRH6LJNNXtK1W
19,"One Kiss (with Dua Lipa)","Calvin Harris",105074,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
20,"Juste pour voir","S.Pri Noir",102734,https://open.spotify.com/track/0JOJx8jx0dWZk33MsvRZrB
21,Habitué,Dosseh,101430,https://open.spotify.com/track/76HlSm9QxyXxpks5HTYS0F
22,Smog,Damso,100168,https://open.spotify.com/track/1h1wmYG39fp6ZTgwlJ3Cv3
23,Rise,"Jonas Blue",99957,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
24,"Toto et Ninetta",Jul,98731,https://open.spotify.com/track/4DMSNaJcSirQN31BSf2BeZ
25,"A l'Ammoniaque",PNL,98582,https://open.spotify.com/track/6aH3QgooXRmx8k8jzrSm3V
26,Luna,"Moha La Squale",97139,https://open.spotify.com/track/55PyQALchJn43CGeN6XHAN
27,"Mafiosa (feat. Caroliina)",Lartiste,96671,https://open.spotify.com/track/0WxiQqTcK3ZErx2mMWgtm6
28,Guerilla,Soolking,93105,https://open.spotify.com/track/6pJMDcYj8jHDGdEVWNwBMH
29,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,89113,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
30,Alright,Jain,88014,https://open.spotify.com/track/145QaTU2UvcUNkC04RIYkT
31,"Bad boy","Marwa Loud",87761,https://open.spotify.com/track/0N90EmHdOXLnTYDoeLwsmr
32,SAD!,XXXTENTACION,87013,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
33,"Jackie Chan",Tiësto,84902,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
34,"I Like It","Cardi B",82080,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
35,"La même","Maître Gims",81614,https://open.spotify.com/track/7HK0UeyxUWJjc6ndRZVKFg
36,Bella,MHD,81398,https://open.spotify.com/track/0SJRHDAStlsrXIXeFZZStK
37,Moonlight,XXXTENTACION,77032,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
38,"Demain - Bigflo & Oli X Petit Biscuit","Bigflo & Oli",73952,https://open.spotify.com/track/79m95shJaTK0aSogeQQTyD
