,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"In My Feelings",Drake,9377,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
2,"SICKO MODE","Travis Scott",5265,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
3,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,4888,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
4,"I Like It","Cardi B",4421,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
5,"In My Mind",Dynoro,4406,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
6,"God is a woman","Ariana Grande",4199,https://open.spotify.com/track/7gkWXbAxIYuvtOpcN3p9GJ
7,"No Brainer","DJ Khaled",4114,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
8,"Taste (feat. Offset)",Tyga,4099,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
9,STARGAZING,"Travis Scott",3847,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
10,Nonstop,Drake,3719,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
11,"Girls Like You (feat. Cardi B)","Maroon 5",3697,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
12,"Solo (feat. Demi Lovato)","Clean Bandit",3634,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
13,"Eastside (with Halsey & Khalid)","benny blanco",3376,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
14,"Jackie Chan",Tiësto,3365,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
15,SAD!,XXXTENTACION,3224,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
16,Rise,"Jonas Blue",3222,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
17,"Lucid Dreams","Juice WRLD",3085,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
18,"God's Plan",Drake,2702,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
19,Moonlight,XXXTENTACION,2586,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
20,"Better Now","Post Malone",2571,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
21,Youngblood,"5 Seconds of Summer",2538,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
22,"Body (feat. brando)","Loud Luxury",2534,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
23,"Beautiful (feat. Camila Cabello)",Bazzi,2506,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
24,"One Kiss (with Dua Lipa)","Calvin Harris",2497,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
25,"Happy Now",Zedd,2490,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
26,Nevermind,"Dennis Lloyd",2426,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
27,"rockstar (feat. 21 Savage)","Post Malone",2383,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
28,"Be Alright","Dean Lewis",2370,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
29,"Praise The Lord (Da Shine)","A$AP Rocky",2187,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
30,"no tears left to cry","Ariana Grande",2137,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
31,SWISH,Tyga,2120,https://open.spotify.com/track/55GiOwtxNajXVbpjjIzMnD
32,"Don’t Matter To Me (with Michael Jackson)",Drake,1965,https://open.spotify.com/track/6G8kHiVZ1jW7vHMPVRNZU0
33,Fuego,"Eleni Foureira",1964,https://open.spotify.com/track/4TwWOcvjY1qt3QJvtveAGm
34,"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam",1864,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
35,"Nice For What",Drake,1807,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
36,Liwma,"Konstantinos Argiros",1797,https://open.spotify.com/track/3QjWksQkexMpCQD8TIFp7b
37,"Ocean (feat. Khalid)","Martin Garrix",1740,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
38,2002,Anne-Marie,1726,https://open.spotify.com/track/6SFStUDQZNaGPKWOx9ZiJB
39,"I'm a Mess","Bebe Rexha",1700,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
40,Havana,"Camila Cabello",1696,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
41,"Look Alive (feat. Drake)","BlocBoy JB",1687,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
42,Believer,"Imagine Dragons",1675,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
43,"Born To Be Yours",Kygo,1602,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
44,Natural,"Imagine Dragons",1550,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
45,"Ola Moiazoun Kalokairi",Melisses,1549,https://open.spotify.com/track/2HBfbTWVjOO0JpVvdwzcSG
46,"Call Out My Name","The Weeknd",1545,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
47,"Barbie Dreams","Nicki Minaj",1544,https://open.spotify.com/track/6Poyf51k7W3NKnsGwAI90B
48,"W O R K I N M E",Quavo,1533,https://open.spotify.com/track/33tNYw9oMtSkGe27NpgS64
49,changes,XXXTENTACION,1508,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
50,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",1489,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
51,Medusa,Snik,1459,https://open.spotify.com/track/4dZsxlUWfHgpmIKIGQy9kR
52,"Shape of You","Ed Sheeran",1449,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
53,X,"Nicky Jam",1441,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
54,"Jocelyn Flores",XXXTENTACION,1440,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
55,IDGAF,"Dua Lipa",1415,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
56,"New Rules","Dua Lipa",1397,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
57,"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta",1348,https://open.spotify.com/track/2lYTJK94hb0fd1LQtb6Dhk
58,Chun-Li,"Nicki Minaj",1342,https://open.spotify.com/track/1e4rwBPVI32vZtTJu7mJ4J
59,Giati,Melisses,1334,https://open.spotify.com/track/0jB3HjnsEVcbBPSt7q5coh
60,"lovely (with Khalid)","Billie Eilish",1326,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
61,"Look At Me!",XXXTENTACION,1320,https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s
62,"Taking A Walk","Trippie Redd",1318,https://open.spotify.com/track/4mHgYpuGHu99Mw69E83CP2
63,Clandestino,Shakira,1304,https://open.spotify.com/track/7DrluKkTviBwCc8AV3VGmf
64,"Yes Indeed","Lil Baby",1294,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
65,CAROUSEL,"Travis Scott",1279,https://open.spotify.com/track/7KZ5MMVgBVox9ycroB2UrI
66,APESHIT,"The Carters",1266,https://open.spotify.com/track/0E6PsO3ymCfUh7pJQjBgkj
67,"Agapo Simeni","Giorgos Mazonakis",1249,https://open.spotify.com/track/5kMtCT2rpD26KCiHFu5VqY
68,"Bed (feat. Ariana Grande)","Nicki Minaj",1246,https://open.spotify.com/track/3L4GsGLgxpHieVQH86H8bv
69,FRIENDS,Marshmello,1240,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
70,Thunder,"Imagine Dragons",1224,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
71,"Dancing in the Moonlight",Jubel,1219,https://open.spotify.com/track/5ow0sNF1zSqp71Ix5jEXWU
72,Flames,"David Guetta",1218,https://open.spotify.com/track/33IOhptvC2Qoy2UhjiHXLV
73,"BUTTERFLY EFFECT","Travis Scott",1130,https://open.spotify.com/track/6xcJyGpfZbuuiequtnlKt4
74,"STOP TRYING TO BE GOD","Travis Scott",1124,https://open.spotify.com/track/1xYpVRspgaLxdJLOTQkTjg
75,"you should see me in a crown","Billie Eilish",1114,https://open.spotify.com/track/6vsV4D8BM6PioRr1UOx0n2
76,"River (feat. Ed Sheeran)",Eminem,1109,https://open.spotify.com/track/1cS0TgbR263ey9jn0MwD2s
77,"Mob Ties",Drake,1108,https://open.spotify.com/track/7rC5Pl8rQSX4myONQHYPBK
78,"Nephew (feat. Lil Pump)",Smokepurpp,1098,https://open.spotify.com/track/0ibOcbkp2XG46Do8jcy0bL
79,"Side Effects","The Chainsmokers",1096,https://open.spotify.com/track/5yNEdBlZMxpcVtGKz5NFk5
80,"Thunderclouds with Sia, Diplo & Labrinth",Sia,1091,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
81,HUMBLE.,"Kendrick Lamar",1084,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
82,"I'm Upset",Drake,1063,https://open.spotify.com/track/3qN5qMTKyEEmiTZD38BNTT
83,"Bodak Yellow","Cardi B",1042,https://open.spotify.com/track/6KBYefIoo7KydImq1uUQlL
84,"The Middle",Zedd,1034,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
85,"Psycho (feat. Ty Dolla $ign)","Post Malone",1034,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
86,"Majesty (feat. Eminem & Labrinth)","Nicki Minaj",1032,https://open.spotify.com/track/38TgLPNHsPzgqri5G4SPun
87,"WAKE UP","Travis Scott",1032,https://open.spotify.com/track/20MuVazoNMv6xjKPnRFOxG
88,Shotgun,"George Ezra",1030,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
89,"Only You (with Little Mix)","Cheat Codes",1028,https://open.spotify.com/track/54l9GJGQ1UCFKe2tzt1Vxt
90,"Mad Love","Sean Paul",1020,https://open.spotify.com/track/4dSoDnmR9opAQ8KxUc9SbC
