,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Vaina Loca",Ozuna,15316,https://open.spotify.com/track/1s2B5cndbqK8rPJEIcKJRQ
2,"No Es Justo","J Balvin",13426,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7
3,"Te Boté - Remix","Nio Garcia",12148,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
4,"La Player (Bandolera)","Zion & Lennox",10659,https://open.spotify.com/track/0VKkyBKCXyR99navhVRqcP
5,"Sin Pijama","Becky G",9851,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
6,"Por Perro","Sebastian Yatra",9467,https://open.spotify.com/track/2alIsNw1mqEShbWyO1HXZZ
7,"Cuando Te Besé","Becky G",9037,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy
8,"In My Feelings",Drake,8767,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
9,"Estamos Bien","Bad Bunny",7812,https://open.spotify.com/track/7glCSQqV5o6NU88Cn4zPZn
10,Culpables,"Manuel Turizo",7363,https://open.spotify.com/track/3RD0PGolM0mETGHaprwgMn
11,Clandestino,Shakira,7361,https://open.spotify.com/track/7DrluKkTviBwCc8AV3VGmf
12,"Me Niego",Reik,7343,https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T
13,"Te Amo","Piso 21",7241,https://open.spotify.com/track/2RVrdr062uLFxXwIxwdXPH
14,"I Like It","Cardi B",7074,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
15,"Mala Mía",Maluma,6780,https://open.spotify.com/track/62o8KoI44JfN7aYxgTnPvh
16,"X - Remix","Nicky Jam",6518,https://open.spotify.com/track/6JjPBQfI2Y8nIjnm65X6Pw
17,Hipócrita,"Anuel Aa",6478,https://open.spotify.com/track/6XBjCetHKdO5L9cwMDVffw
18,"Madura (feat. Bad Bunny)",Cosculluela,6371,https://open.spotify.com/track/0r9d60ZYPAlFHq8qnUtkXN
19,"Epa Wei","Danny Ocean",6362,https://open.spotify.com/track/2QmsKag0YaqhAbpR9Nwmpn
20,"Dura - Remix","Daddy Yankee",6247,https://open.spotify.com/track/6U2NuJILEOEpW2tVCuqKHb
21,"Nena Maldicion (feat. Lenny Tavarez)","Paulo Londra",6143,https://open.spotify.com/track/3TnhQSRwT3AVMdXw5JPq0x
22,Unica,Ozuna,6103,https://open.spotify.com/track/6752EZMgXswvRBH3N2PilO
23,Asesina,Brytiago,5881,https://open.spotify.com/track/6rbhaJsE4uLzpPf8WYSHDK
24,"No Me Acuerdo",Thalía,5612,https://open.spotify.com/track/00EPIEnX1JFjff8sC6bccd
25,Dembow,"Danny Ocean",5569,https://open.spotify.com/track/2EzRdhuoPyNJDlep7lnNf2
26,"Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21",5265,https://open.spotify.com/track/1j6xOGusnyXq3l6IryKF3G
27,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","Sofia Reyes",5072,https://open.spotify.com/track/4QtiVmuA88tPQiCOHZuQ5b
28,"Girls Like You (feat. Cardi B)","Maroon 5",5024,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
29,Casualidad,Nacho,4588,https://open.spotify.com/track/08rwXPBZ2DHOwnL7xaz044
30,X,"Nicky Jam",4581,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
31,"Síguelo Bailando",Ozuna,4570,https://open.spotify.com/track/5Y9fnynLlIvqtM710MHzfz
32,"No Hay Nadie Más","Sebastian Yatra",4561,https://open.spotify.com/track/3IPJg1sdqLj12kFIndaonN
33,"No Quiero Amarte (feat. Zion & Lennox)","Justin Quiles",4489,https://open.spotify.com/track/5bITfqKGaPakO1l99hOMsI
34,"Chica Paranormal","Paulo Londra",4446,https://open.spotify.com/track/2r77vqSZkOktTSgmAOoHsV
35,"Mi Cama - Remix","Karol G",4393,https://open.spotify.com/track/38QmUDpkoYlNbMKvpvAsrE
36,"Bella - Remix",Wolfine,4348,https://open.spotify.com/track/0SaYeGhSXN0dDWstyNTQ56
37,"Toda - Remix","Alex Rose",4305,https://open.spotify.com/track/7nD2JPaxIKUdxd2UWgnaGL
38,"Quiere Beber","Anuel Aa",4271,https://open.spotify.com/track/3rPAD722s5FFNnwjC91t7Z
39,"To My Love - Tainy Remix","Bomba Estéreo",4253,https://open.spotify.com/track/5LciLoxa1gK70yIUeoHgRx
40,Calypso,"Luis Fonsi",4186,https://open.spotify.com/track/4178A5NkEjcsGc64jpBO6d
41,"El Préstamo",Maluma,4163,https://open.spotify.com/track/2XVilv6s9GETnw9PG4T9Mz
42,"One Kiss (with Dua Lipa)","Calvin Harris",4145,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
43,"Zum Zum","Daddy Yankee",4108,https://open.spotify.com/track/7lEhOiFtcLXY4P7cuTKuQ8
44,"Loca Remix",Khea,3859,https://open.spotify.com/track/2CRbiMK0W14l71SpDKqKZM
45,Triste,"Bryant Myers",3741,https://open.spotify.com/track/5MNS5FF4LrTX0jIaI0gory
46,Solita,Ozuna,3688,https://open.spotify.com/track/7rwX0O3RlxqqIjQM8evm5E
47,"Cuando Nadie Ve",Morat,3652,https://open.spotify.com/track/1Cxd4ZJJ9VOQQpNcpdcZEQ
48,"Mi Cama","Karol G",3621,https://open.spotify.com/track/7sFYVcKSb24qg0dAkqLEFj
49,Ambiente,"J Balvin",3609,https://open.spotify.com/track/6VrBWh90BiwWmwKtvwWFcq
50,"Me Rehúso","Danny Ocean",3601,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
51,Brindemos,"Anuel Aa",3543,https://open.spotify.com/track/7LeQ55Z5jPBB0ggYJtAiYO
52,"God's Plan",Drake,3277,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
53,"El Farsante - Remix",Ozuna,3131,https://open.spotify.com/track/7uYgVgRSgqluZclLS7wpp4
54,"Ya No Tiene Novio","Sebastian Yatra",3093,https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu
55,"Quiero Repetir",Ozuna,3087,https://open.spotify.com/track/0MIcPSq9n2z5H8TAfEstri
56,"La Vida Sin Ti","Piso 21",3045,https://open.spotify.com/track/1RvL7eHoeUolnQbWm2Hnba
57,Criminal,"Natti Natasha",3032,https://open.spotify.com/track/6Za3190Sbw39BBC77WSS1C
