,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"In My Feelings",Drake,14172,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
2,"No Brainer","DJ Khaled",12461,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
3,"Girls Like You (feat. Cardi B)","Maroon 5",11455,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
4,"Beautiful (feat. Camila Cabello)",Bazzi,11440,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
5,"Eastside (with Halsey & Khalid)","benny blanco",11290,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
6,"Happy Now",Zedd,10646,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
7,漸漸,"Eason Chan",9763,https://open.spotify.com/track/4zD2h6vDuzVm1QWyQJlb0P
8,說散就散,JC,9531,https://open.spotify.com/track/3CE1HoJJ0FVKo7JHsWIuvC
9,Darkside,"Alan Walker",9336,https://open.spotify.com/track/1snWlbcbgQpJfknoI30DWG
10,"God is a woman","Ariana Grande",8817,https://open.spotify.com/track/7gkWXbAxIYuvtOpcN3p9GJ
11,Rise,"Jonas Blue",8467,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
12,心之科學,"Joey Yung",7887,https://open.spotify.com/track/1gVMd7oYGo6Whlgg7pAa7M
13,"SICKO MODE","Travis Scott",7644,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
14,"Be Alright","Dean Lewis",7600,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
15,"Solo (feat. Demi Lovato)","Clean Bandit",7408,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
16,"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta",7200,https://open.spotify.com/track/2lYTJK94hb0fd1LQtb6Dhk
17,"I'm a Mess","Bebe Rexha",6864,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
18,"DDU-DU DDU-DU - KR Ver.",BLACKPINK,6723,https://open.spotify.com/track/2CWnuF7ht55Ajyeg4WPvWu
19,"Ocean (feat. Khalid)","Martin Garrix",6391,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
20,2002,Anne-Marie,6274,https://open.spotify.com/track/6SFStUDQZNaGPKWOx9ZiJB
21,長相廝守,ToNick,6240,https://open.spotify.com/track/44TjgDPUGUqU3ylA8tBkVf
22,"Body (feat. brando)","Loud Luxury",6185,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
23,Youngblood,"5 Seconds of Summer",6166,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
24,"In My Mind",Dynoro,6160,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
25,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",6106,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
26,STARGAZING,"Travis Scott",5861,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
27,等你下課,"Jay Chou",5859,https://open.spotify.com/track/76WthWB0v0KXUHZoAclMVV
28,假使世界原來不像你預期,"Charmaine Fong",5819,https://open.spotify.com/track/53HxUdYRCRMdzYPG0qhGUP
29,"Shape of You","Ed Sheeran",5662,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
30,倒數,G.E.M.,5432,https://open.spotify.com/track/2HmM5p02Q2qrYZvXJRLVx3
31,"Side Effects","The Chainsmokers",5406,https://open.spotify.com/track/5yNEdBlZMxpcVtGKz5NFk5
32,"Better Now","Post Malone",5363,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
33,男人背後,"Pakho Chau",5333,https://open.spotify.com/track/14KOku8usgyqZSn9LrbMLT
34,Havana,"Camila Cabello",5266,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
35,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,5220,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
36,告白氣球,"Jay Chou",5201,https://open.spotify.com/track/1ivCIgrYZyE0BvItL4Z8lk
37,"Taste (feat. Offset)",Tyga,5193,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
38,"Lucid Dreams","Juice WRLD",5132,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
39,"Jackie Chan",Tiësto,5059,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
40,"Born To Be Yours",Kygo,5012,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
41,千年如一日,"Sammi Cheng",5002,https://open.spotify.com/track/5uMdtM7YFGPx8Z2s73Uaov
42,後來的我們,Mayday,4932,https://open.spotify.com/track/13AruKdh8wJhWx6i5dV8X1
43,"no tears left to cry","Ariana Grande",4888,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
44,"I Like It","Cardi B",4773,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
45,Connection,OneRepublic,4668,https://open.spotify.com/track/3T4UodGkfZObJ43RtA5KFU
46,黃色大門,"Hins Cheung",4601,https://open.spotify.com/track/4yBo6MR83HlwyDkp0yDn8q
