,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"No Es Justo","J Balvin",6375,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7
2,"Estamos Bien","Bad Bunny",6356,https://open.spotify.com/track/7glCSQqV5o6NU88Cn4zPZn
3,"Te Boté - Remix","Nio Garcia",5886,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
4,"Vaina Loca",Ozuna,5719,https://open.spotify.com/track/1s2B5cndbqK8rPJEIcKJRQ
5,"In My Feelings",Drake,5514,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
6,"La Player (Bandolera)","Zion & Lennox",5139,https://open.spotify.com/track/0VKkyBKCXyR99navhVRqcP
7,Asesina,Brytiago,4924,https://open.spotify.com/track/6rbhaJsE4uLzpPf8WYSHDK
8,"Sin Pijama","Becky G",4448,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
9,"I Like It","Cardi B",4255,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
10,"Por Perro","Sebastian Yatra",4245,https://open.spotify.com/track/2alIsNw1mqEShbWyO1HXZZ
11,"Mala Mía",Maluma,4128,https://open.spotify.com/track/62o8KoI44JfN7aYxgTnPvh
12,"Madura (feat. Bad Bunny)",Cosculluela,3788,https://open.spotify.com/track/0r9d60ZYPAlFHq8qnUtkXN
13,Hipócrita,"Anuel Aa",3698,https://open.spotify.com/track/6XBjCetHKdO5L9cwMDVffw
14,"Toda - Remix","Alex Rose",3606,https://open.spotify.com/track/7nD2JPaxIKUdxd2UWgnaGL
15,"Nena Maldicion (feat. Lenny Tavarez)","Paulo Londra",3563,https://open.spotify.com/track/3TnhQSRwT3AVMdXw5JPq0x
16,"Me Niego",Reik,3382,https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T
17,"Te Amo","Piso 21",3330,https://open.spotify.com/track/2RVrdr062uLFxXwIxwdXPH
18,"Quiere Beber","Anuel Aa",3310,https://open.spotify.com/track/3rPAD722s5FFNnwjC91t7Z
19,"Girls Like You (feat. Cardi B)","Maroon 5",3175,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
20,Brindemos,"Anuel Aa",3114,https://open.spotify.com/track/7LeQ55Z5jPBB0ggYJtAiYO
21,"One Kiss (with Dua Lipa)","Calvin Harris",3011,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
22,Unica,Ozuna,2909,https://open.spotify.com/track/6752EZMgXswvRBH3N2PilO
23,Clandestino,Shakira,2834,https://open.spotify.com/track/7DrluKkTviBwCc8AV3VGmf
24,"Cuando Te Besé","Becky G",2823,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy
25,"Loca Remix",Khea,2802,https://open.spotify.com/track/2CRbiMK0W14l71SpDKqKZM
26,"X - Remix","Nicky Jam",2796,https://open.spotify.com/track/6JjPBQfI2Y8nIjnm65X6Pw
27,"Dura - Remix","Daddy Yankee",2763,https://open.spotify.com/track/6U2NuJILEOEpW2tVCuqKHb
28,Triste,"Bryant Myers",2665,https://open.spotify.com/track/5MNS5FF4LrTX0jIaI0gory
29,"Hookah & Sheridan s","Tommy Boysen",2629,https://open.spotify.com/track/3QfD4bxxkopZL7XZ8RaezH
30,"To My Love - Tainy Remix","Bomba Estéreo",2477,https://open.spotify.com/track/5LciLoxa1gK70yIUeoHgRx
31,"Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21",2438,https://open.spotify.com/track/1j6xOGusnyXq3l6IryKF3G
32,Original,Arcangel,2413,https://open.spotify.com/track/1LBlcCtOrKITXpEp1hnNpj
33,X,"Nicky Jam",2371,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
34,Culpables,"Manuel Turizo",2371,https://open.spotify.com/track/3RD0PGolM0mETGHaprwgMn
35,Dembow,"Danny Ocean",2360,https://open.spotify.com/track/2EzRdhuoPyNJDlep7lnNf2
36,"Epa Wei","Danny Ocean",2287,https://open.spotify.com/track/2QmsKag0YaqhAbpR9Nwmpn
37,"God's Plan",Drake,2236,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
38,Solita,Ozuna,2180,https://open.spotify.com/track/7rwX0O3RlxqqIjQM8evm5E
39,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,2175,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
40,"No Me Acuerdo",Thalía,2173,https://open.spotify.com/track/00EPIEnX1JFjff8sC6bccd
