,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"In My Mind",Dynoro,13542,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
2,"Solo (feat. Demi Lovato)","Clean Bandit",11584,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
3,Füttyös,Majka,9817,https://open.spotify.com/track/6bsERSsjVL4Cpt0e2t77Vx
4,"In My Feelings",Drake,9782,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
5,Rise,"Jonas Blue",9296,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
6,"One Kiss (with Dua Lipa)","Calvin Harris",7689,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
7,"Jackie Chan",Tiësto,7684,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
8,"Girls Like You (feat. Cardi B)","Maroon 5",7661,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
9,"Born To Be Yours",Kygo,7534,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
10,"Nem Tudja Senki","Follow The Flow",7333,https://open.spotify.com/track/0XlgY6Jrh51dY2Bfepj9hK
11,"No Brainer","DJ Khaled",7302,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
12,Youngblood,"5 Seconds of Summer",6881,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
13,"Eastside (with Halsey & Khalid)","benny blanco",6855,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
14,Nevermind,"Dennis Lloyd",6703,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
15,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,6154,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
16,"I Like It","Cardi B",5947,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
17,"Body (feat. brando)","Loud Luxury",5776,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
18,Natural,"Imagine Dragons",5631,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
19,"Hol van az a lány","DR BRS",5577,https://open.spotify.com/track/5qmqZ2Fh9dHhDT82afD08n
20,"Taste (feat. Offset)",Tyga,5511,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
21,"Happy Now",Zedd,5464,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
22,"God is a woman","Ariana Grande",5424,https://open.spotify.com/track/7gkWXbAxIYuvtOpcN3p9GJ
23,"Lucid Dreams","Juice WRLD",5409,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
24,"SICKO MODE","Travis Scott",5160,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
25,"I'm a Mess","Bebe Rexha",4861,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
26,IDGAF,"Dua Lipa",4716,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
27,"New Rules","Dua Lipa",4600,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
28,"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam",4514,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
29,2002,Anne-Marie,4509,https://open.spotify.com/track/6SFStUDQZNaGPKWOx9ZiJB
30,SAD!,XXXTENTACION,4479,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
31,"Remind Me to Forget",Kygo,4297,https://open.spotify.com/track/6xTU6B6nFwKKTSZ9ySXS80
32,STARGAZING,"Travis Scott",4286,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
33,"Ocean (feat. Khalid)","Martin Garrix",4223,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
34,"Better Now","Post Malone",4129,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
35,"Beautiful (feat. Camila Cabello)",Bazzi,4121,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
36,"Be Alright","Dean Lewis",4111,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
37,FRIENDS,Marshmello,4089,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
38,"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta",4077,https://open.spotify.com/track/2lYTJK94hb0fd1LQtb6Dhk
39,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",4054,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
40,"no tears left to cry","Ariana Grande",4031,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
41,Believer,"Imagine Dragons",3926,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
42,Darkside,"Alan Walker",3837,https://open.spotify.com/track/1snWlbcbgQpJfknoI30DWG
43,"High On Life (feat. Bonn)","Martin Garrix",3758,https://open.spotify.com/track/4ut5G4rgB1ClpMTMfjoIuy
44,"Shape of You","Ed Sheeran",3693,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
45,"rockstar (feat. 21 Savage)","Post Malone",3630,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
46,"Mad Love","Sean Paul",3583,https://open.spotify.com/track/4dSoDnmR9opAQ8KxUc9SbC
47,"Blah Blah Blah","Armin van Buuren",3551,https://open.spotify.com/track/0tp6mwUt99QnfY95T30Lqj
48,Havana,"Camila Cabello",3549,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
49,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,3526,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
50,Flames,"David Guetta",3309,https://open.spotify.com/track/33IOhptvC2Qoy2UhjiHXLV
51,Thunder,"Imagine Dragons",3152,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
52,Shotgun,"George Ezra",3110,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
53,"Thunderclouds with Sia, Diplo & Labrinth",Sia,2835,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
54,Moonlight,XXXTENTACION,2810,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
55,"There's Nothing Holdin' Me Back","Shawn Mendes",2764,https://open.spotify.com/track/7JJmb5XwzOO8jgpou264Ml
56,"In My Blood","Shawn Mendes",2692,https://open.spotify.com/track/21YnmkSDhUkmkkni22Svc4
57,"Without You (feat. Sandro Cavazza)",Avicii,2666,https://open.spotify.com/track/6Pgkp4qUoTmJIPn7ReaGxL
58,"Dancing in the Moonlight",Jubel,2659,https://open.spotify.com/track/5ow0sNF1zSqp71Ix5jEXWU
59,"The Middle",Zedd,2650,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
60,"Don’t Matter To Me (with Michael Jackson)",Drake,2629,https://open.spotify.com/track/6G8kHiVZ1jW7vHMPVRNZU0
61,Familiar,"Liam Payne",2622,https://open.spotify.com/track/0Y4hwUppbGc8aIBmiTz30A
62,"Side Effects","The Chainsmokers",2579,https://open.spotify.com/track/5yNEdBlZMxpcVtGKz5NFk5
63,Unforgettable,"Robin Schulz",2513,https://open.spotify.com/track/3rvEwBi1mFFHqCnkrGmnWp
64,"More Than You Know","Axwell /\ Ingrosso",2506,https://open.spotify.com/track/6h5PAsRni4IRlxWr6uDPTP
65,"Praise The Lord (Da Shine)","A$AP Rocky",2461,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
66,"Do I Wanna Know?","Arctic Monkeys",2459,https://open.spotify.com/track/3rq5w4bQGigXOfdN30ATJt
67,SWISH,Tyga,2388,https://open.spotify.com/track/55GiOwtxNajXVbpjjIzMnD
68,"Like I Do","David Guetta",2370,https://open.spotify.com/track/6RnkFd8Fqqgk1Uni8RgqCQ
69,"God's Plan",Drake,2356,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
70,"High Hopes","Panic! At The Disco",2341,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
71,Stargazing,Kygo,2338,https://open.spotify.com/track/0Zbbxnx4SGGHoIow4PpISP
72,Nonstop,Drake,2273,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
73,"If You're Over Me","Years & Years",2251,https://open.spotify.com/track/1oc3jna2ablnfIKLYbKujl
74,"Only You (with Little Mix)","Cheat Codes",2239,https://open.spotify.com/track/54l9GJGQ1UCFKe2tzt1Vxt
75,"Youth feat. Khalid","Shawn Mendes",2233,https://open.spotify.com/track/5SwEgzUFDHwpWHKrbnP32Z
76,Breathe,"Jax Jones",2224,https://open.spotify.com/track/0KsB4TwgATg88aXCMBoO3Y
77,"Live It Up - Official Song 2018 FIFA World Cup Russia","Nicky Jam",2200,https://open.spotify.com/track/4DnHUy01jEA4b5ydC3HgsT
78,"Mindenki táncol /90'/",Majka,2183,https://open.spotify.com/track/75JtuuAnLKjLu8FyEMIzRe
79,"Scared to Be Lonely","Martin Garrix",2176,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
80,"Sin Pijama","Becky G",2153,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
81,Clandestino,Shakira,2151,https://open.spotify.com/track/7DrluKkTviBwCc8AV3VGmf
82,"It Ain't Me (with Selena Gomez)",Kygo,2137,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
83,"Treat You Better","Shawn Mendes",2128,https://open.spotify.com/track/3QGsuHI8jO1Rx4JWLUh9jd
84,"Csak Egyszer Mondom El",Misshmusic,2116,https://open.spotify.com/track/4sK7tmW9zWK4W7XnPt2B7z
85,Melody,"Lost Frequencies",2111,https://open.spotify.com/track/5r49JKf2vWBF0CQjZewJ0O
86,"Him & I (with Halsey)",G-Eazy,2109,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4
87,"La Cintura","Alvaro Soler",2108,https://open.spotify.com/track/19MBk3PbNFE36wqIqkMq9H
88,Connection,OneRepublic,2086,https://open.spotify.com/track/3T4UodGkfZObJ43RtA5KFU
89,Élvezd,"Punnany Massif",2065,https://open.spotify.com/track/15Zz41Ec3C6Rh6nDZa8331
90,"Lonely Together (feat. Rita Ora)",Avicii,2064,https://open.spotify.com/track/2OALaHcDdKkjYEpAr0Qzab
91,changes,XXXTENTACION,1970,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
92,"Feel It Still","Portugal. The Man",1966,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
93,"Psycho (feat. Ty Dolla $ign)","Post Malone",1935,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
94,Wolves,"Selena Gomez",1930,https://open.spotify.com/track/0tBbt8CrmxbjRP0pueQkyU
95,Dura,"Daddy Yankee",1929,https://open.spotify.com/track/6KuqAtoeVzxAYOaMveLNpH
96,"Jocelyn Flores",XXXTENTACION,1883,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
97,Africa,Toto,1863,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
98,"Nico And The Niners","Twenty One Pilots",1857,https://open.spotify.com/track/6ZIuit0z4eQg77F1RGkp0L
99,Blöff,AK26,1853,https://open.spotify.com/track/15h0TVG4qO6eutqjHQXb08
100,"Be Your Friend‬‬",Vigiland,1820,https://open.spotify.com/track/2mSIu1ZPo22Ihx3EwS4E6h
101,Mercy,"Shawn Mendes",1820,https://open.spotify.com/track/0AS63m1wHv9n4VVRizK6Hc
102,"Hajnali Kör","Irie Maffia",1800,https://open.spotify.com/track/4vYWvBnqNoJGDMk3f14rlv
103,"Whatever It Takes","Imagine Dragons",1794,https://open.spotify.com/track/6Qn5zhYkTa37e91HC1D7lb
104,"Wake Me Up - Radio Edit",Avicii,1783,https://open.spotify.com/track/4h8VwCb1MTGoLKueQ1WgbD
