,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"In My Feelings",Drake,56555,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
2,Shotgun,"George Ezra",55609,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
3,Rise,"Jonas Blue",46075,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
4,"Eastside (with Halsey & Khalid)","benny blanco",45702,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
5,"Body (feat. brando)","Loud Luxury",44625,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
6,"No Brainer","DJ Khaled",43113,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
7,"Jackie Chan",Tiësto,38530,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
8,"Solo (feat. Demi Lovato)","Clean Bandit",34555,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
9,"Lucid Dreams","Juice WRLD",34147,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
10,"In My Mind",Dynoro,34123,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
11,"Girls Like You (feat. Cardi B)","Maroon 5",32994,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
12,"God is a woman","Ariana Grande",32037,https://open.spotify.com/track/7gkWXbAxIYuvtOpcN3p9GJ
13,"If You're Over Me","Years & Years",31493,https://open.spotify.com/track/1oc3jna2ablnfIKLYbKujl
14,Youngblood,"5 Seconds of Summer",30356,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
15,2002,Anne-Marie,26975,https://open.spotify.com/track/6SFStUDQZNaGPKWOx9ZiJB
16,"Taste (feat. Offset)",Tyga,26110,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
17,"Ring Ring (feat. Mabel & Rich The Kid)","Jax Jones",25680,https://open.spotify.com/track/3pSfoP1xZllxEuZ6Oh6ebn
18,"Only You (with Little Mix)","Cheat Codes",25116,https://open.spotify.com/track/54l9GJGQ1UCFKe2tzt1Vxt
19,"Better Now","Post Malone",23583,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
20,"SICKO MODE","Travis Scott",23097,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
21,"One Kiss (with Dua Lipa)","Calvin Harris",23016,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
