,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"In My Feelings",Drake,8565,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
2,"No Brainer","DJ Khaled",7032,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
3,"Girls Like You (feat. Cardi B)","Maroon 5",6868,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
4,גומיגם,"Static & Ben El Tavori",6793,https://open.spotify.com/track/2tGGxOQW48qI5oQku2ACj6
5,"Lucid Dreams","Juice WRLD",6091,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
6,"Comme ci comme ca","Stephane legar",6025,https://open.spotify.com/track/0poi1IyVFRKXI2jvHmdaIa
7,"Solo (feat. Demi Lovato)","Clean Bandit",5592,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
8,Rise,"Jonas Blue",5501,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
9,"I Like It","Cardi B",5136,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
10,צבעים,"גיל ויין",4945,https://open.spotify.com/track/2OJS0hRtiTOh51SEDJWLlm
11,"SICKO MODE","Travis Scott",4810,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
12,"אוהבת אותי אמיתי","Omer Adam",4654,https://open.spotify.com/track/7suO6u1sJuNnkLpBTWmYjX
13,"Eastside (with Halsey & Khalid)","benny blanco",4435,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
14,Youngblood,"5 Seconds of Summer",4434,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
15,"Taste (feat. Offset)",Tyga,4400,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
16,"In My Mind",Dynoro,4242,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
17,"Jackie Chan",Tiësto,4177,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
18,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,4102,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
19,"שני משוגעים","Omer Adam",4102,https://open.spotify.com/track/1EbUjcgx4c1tLHdqC6eHJd
