,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Amore e Capoeira","Takagi & Ketra",306962,https://open.spotify.com/track/5Vwqy3CS2aCB6jcgm1qWfk
2,Nera,Irama,290531,https://open.spotify.com/track/6Lc0La3OwOmAouQjbID4uX
3,"Da zero a cento","Baby K",274131,https://open.spotify.com/track/4cQR1R25cpABjPMzpybNSQ
4,Pablo,Rvssian,271823,https://open.spotify.com/track/0l8vhDaEztxLCQsFOAX64d
5,"In My Feelings",Drake,210717,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
6,"Tesla (feat. Sfera Ebbasta & DrefGold)","Capo Plaza",209992,https://open.spotify.com/track/093RgZ7RXHZwIrxZhZYX4Q
7,Italiana,J-AX,193692,https://open.spotify.com/track/0ptaq4BSl6jrXfGyLzJjYE
8,"Fotografia (feat. Francesca Michielin & Fabri Fibra)","Carl Brave",193404,https://open.spotify.com/track/3fw3W15QK6a9UxJGgndtYu
9,"Felicità puttana",Thegiornalisti,185988,https://open.spotify.com/track/7iyhPEsF6Ea83e3eR87UjY
10,"Nero Bali",Elodie,176015,https://open.spotify.com/track/2hygc41DOo6dGocHEk6Jx1
11,Rollercoaster,"Emis Killa",173039,https://open.spotify.com/track/2Qe5XpRwGHFmMkZim0gRye
12,"Davide (feat. Coez)",Gemitaiz,171856,https://open.spotify.com/track/1Lq5ApqhIWUXzlryFX2K6J
13,"Te Boté - Remix","Nio Garcia",170829,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
14,"Non Ti Dico No",Boomdabash,166930,https://open.spotify.com/track/07Xuc7SQU2GAJY6Gnt93ub
15,"Moscow Mule","Benji & Fede",163776,https://open.spotify.com/track/1Lfjom9CoL5hIyvjYey9zs
16,"D'estate non vale (feat. Ana Mena)","Fred De Palma",160974,https://open.spotify.com/track/3dCEtkAfWhk15bLAWZAKLy
17,"Girls Like You (feat. Cardi B)","Maroon 5",144476,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
18,"One Kiss (with Dua Lipa)","Calvin Harris",134310,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
19,"Solo (feat. Demi Lovato)","Clean Bandit",130681,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
20,"Morirò da re",Måneskin,130346,https://open.spotify.com/track/47LqR8uKRA8WcZcSXkdAbz
21,"Faccio Quello Che Voglio","Fabio Rovazzi",127035,https://open.spotify.com/track/3ZSiGHNkkWgFInQqPEP0xb
22,"La Cintura","Alvaro Soler",123346,https://open.spotify.com/track/19MBk3PbNFE36wqIqkMq9H
23,SAD!,XXXTENTACION,120995,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
24,"Jackie Chan",Tiësto,120356,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
25,X,"Nicky Jam",115257,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
26,"Mwaka Moon - Remix",Kalash,112420,https://open.spotify.com/track/1OGORI9Hx45AEYqxkndMhN
27,Malibu,"Vegas Jones",112103,https://open.spotify.com/track/08AN0HMXNr3DGGDCOWsTAw
28,"Peace & Love","Charlie Charles",111837,https://open.spotify.com/track/4BGmYEDOK1swwoxTtfmVZD
29,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,111037,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
30,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,105978,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
31,"Ne è valsa la pena (feat. Ghali)","Capo Plaza",102954,https://open.spotify.com/track/6GTCOWvhjvdk4pwlfrSjNO
32,"I Like It","Cardi B",100548,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
33,British,"Dark Polo Gang",99005,https://open.spotify.com/track/3eIRxkHV1xKsSJ8WWFfGjE
34,"Poesia senza veli",Ultimo,95617,https://open.spotify.com/track/3f2b204xj4jZdoHjo9wj0W
35,Crazy,"Lost Frequencies",92925,https://open.spotify.com/track/2hqy4QmpvMeVz6zeolDeLQ
36,"Pem Pem","Elettra Lamborghini",90561,https://open.spotify.com/track/1xYiaH50bbhvYXLQMmbjpY
37,"In My Mind",Dynoro,84457,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
38,"Cupido (feat. Quavo)","Sfera Ebbasta",83488,https://open.spotify.com/track/0dLToDou8YHYJpQltj3Ijy
39,Dura,"Daddy Yankee",83467,https://open.spotify.com/track/6KuqAtoeVzxAYOaMveLNpH
40,"Questa nostra stupida canzone d'amore",Thegiornalisti,80424,https://open.spotify.com/track/2LYt5nf0m90Bz8fuudLQd1
41,Flames,"David Guetta",78660,https://open.spotify.com/track/33IOhptvC2Qoy2UhjiHXLV
42,"Uno squillo","Capo Plaza",75084,https://open.spotify.com/track/7zivIUyCw9MmYftdcayXnN
43,"El Party","Jake La Furia",74637,https://open.spotify.com/track/19LRRuiMQ8a9jhqSf8jVip
44,"Me Niego",Reik,73435,https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T
45,"Échame La Culpa","Luis Fonsi",71581,https://open.spotify.com/track/2hl6q70unbviGo3g1R7uFx
46,"Bye Bye",Annalisa,70608,https://open.spotify.com/track/7hRM2EHbeVZl4fPSK2XxOO
47,"We Can Do Better","Matt Simons",69692,https://open.spotify.com/track/1hLjLWrzO18acdCFcccFWk
48,"La musica non c'è",Coez,69598,https://open.spotify.com/track/7MMJa7cjMadOSR6CFWvB1x
49,"No Brainer","DJ Khaled",69474,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
50,"The Middle",Zedd,69198,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
51,Moonlight,XXXTENTACION,66075,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
52,"Better Now","Post Malone",63480,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
53,"Azukita (Steve Aoki, Daddy Yankee, Play-N-Skillz & Elvis Crespo)","Steve Aoki",63344,https://open.spotify.com/track/5e45GhSF18JYoLpaq2F48h
54,"Sciroppo (feat. DrefGold)","Sfera Ebbasta",60995,https://open.spotify.com/track/4VVG3HBGaqSNZqIpmewIA6
55,Rise,"Jonas Blue",57880,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
56,"God's Plan",Drake,57775,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
57,"Vaina Loca",Ozuna,56522,https://open.spotify.com/track/1s2B5cndbqK8rPJEIcKJRQ
58,"Solletico (feat. Tedua & The Night Skinny)",Rkomi,56454,https://open.spotify.com/track/6gan8nbS78t2sUy0M9UpAX
59,"Amore a prima insta",Shade,55996,https://open.spotify.com/track/4oJLF1XZd4tp7kqbfxmvDU
60,"Keanu Reeves (feat. Achille Lauro)",Gemitaiz,55852,https://open.spotify.com/track/1MGXWglFoINJdrcp2W0U0w
61,Rockstar,"Sfera Ebbasta",55718,https://open.spotify.com/track/3js3wKPw8VxBWtcXtwyUnA
62,"Porto Cervo",Lazza,55444,https://open.spotify.com/track/0TAt3c8KXb1D3sWT8ENar8
63,Boss,DrefGold,55170,https://open.spotify.com/track/2kqkUq4JGQh0uTREejMpvv
64,"Thoiry Remix (Samba Trap Vol. 3 - Mitraglia Rec)","Achille Lauro",55159,https://open.spotify.com/track/2l9XbXBbKoEfc1JdCvSz4n
65,Calypso,"Luis Fonsi",55120,https://open.spotify.com/track/4178A5NkEjcsGc64jpBO6d
66,"Bum Bum Tam Tam","MC Fioti",54967,https://open.spotify.com/track/6k2900NjJeVqZM55G3Danu
67,Vertigini,Tedua,54610,https://open.spotify.com/track/1Oou7m2VuxCDSOdqsu07TU
68,"Cara Italia",Ghali,53848,https://open.spotify.com/track/3atDsUhlUgDlQQrI0XFh7I
69,"Síguelo Bailando",Ozuna,53506,https://open.spotify.com/track/5Y9fnynLlIvqtM710MHzfz
70,Paracetamolo,"Calcutta ",53407,https://open.spotify.com/track/4OQ1G3dyVx0SPUzBiWCNat
71,"Il ballo delle incertezze",Ultimo,53389,https://open.spotify.com/track/0Wq6iAraiUpSbBSPmv4gLu
72,STARGAZING,"Travis Scott",53293,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
73,"Next To Me","Imagine Dragons",52310,https://open.spotify.com/track/31VOknKjFrEX47bZXzqcoF
74,"Torna Da Me",Luche,52252,https://open.spotify.com/track/5iSHLCuc0K3pUW16b7sSP4
75,"Ricchi x Sempre","Sfera Ebbasta",51906,https://open.spotify.com/track/0kHTkvGavvk2MjBTSUtOZx
76,"Sin Pijama","Becky G",51639,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
77,"God is a woman","Ariana Grande",51065,https://open.spotify.com/track/7gkWXbAxIYuvtOpcN3p9GJ
78,changes,XXXTENTACION,50756,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
79,Youngblood,"5 Seconds of Summer",49559,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
80,"Taste (feat. Offset)",Tyga,49323,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
81,"Non cambierò mai","Capo Plaza",48798,https://open.spotify.com/track/1PB00xFcBdahfUcJIkB8wG
82,"Serio (feat. Capo Plaza)","Emis Killa",48406,https://open.spotify.com/track/2Cm9pUNjLYpLo2gjIiTBPa
83,"Giovane fuoriclasse","Capo Plaza",48257,https://open.spotify.com/track/60muwbD6E61lEYQSnEYlLc
84,"SICKO MODE","Travis Scott",48170,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
85,"Like I Do","David Guetta",47091,https://open.spotify.com/track/6RnkFd8Fqqgk1Uni8RgqCQ
86,Zingarello,Ghali,46807,https://open.spotify.com/track/12tAWUo1yKx0FRuEhYZjxQ
87,"Bella Giornata (prod. Dogslife, Mago del blocco)","OG Eastbull",46790,https://open.spotify.com/track/76xea5TfeyVu8c4dGWpFD2
88,IDGAF,"Dua Lipa",46089,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
89,"Lucid Dreams","Juice WRLD",45887,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
