,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,打上花火,DAOKO×米津玄師,24684,https://open.spotify.com/track/4IouQaO9GkaHC7AtMErdSa
2,U.S.A.,"DA PUMP",23592,https://open.spotify.com/track/4qZyuyqLoZ3CaH79rGvJFR
3,"No Brainer","DJ Khaled",21706,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
4,"Shape of You","Ed Sheeran",19794,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
5,HANABI,Mr.Children,19736,https://open.spotify.com/track/77lmDcPPyY6kK907gdgC6i
6,"In My Feelings",Drake,18300,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
7,Rise,"Jonas Blue",17071,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
8,愛唄,GReeeeN,16905,https://open.spotify.com/track/7iXHLtPosbHvglVSJ4rxLq
9,"My Boo","Shota Shimizu",16642,https://open.spotify.com/track/2gasr6aemUqZIBBN05EO03
10,"Wherever you are","ONE OK ROCK",16344,https://open.spotify.com/track/0YAMQSmHk6BSUGTYpaoqTJ
11,君はロックを聴かない,Aimyon,16265,https://open.spotify.com/track/59eluCMn0XbOWqeWQ91FTM
12,マリーゴールド,Aimyon,16022,https://open.spotify.com/track/0jWVUKsIoyo3zw64RaEWYg
13,Change,"ONE OK ROCK",15938,https://open.spotify.com/track/6KBj27Bko8gh71gpx0PzIG
14,小さな恋のうた,MONGOL800,15087,https://open.spotify.com/track/7swIKcU4tFRk4iFJpi12Fg
15,青と夏,"Mrs. GREEN APPLE",15029,https://open.spotify.com/track/0a3587n25Xhw098UeEbeJq
16,恋音と雨空,AAA,14916,https://open.spotify.com/track/46gSY0U7ZZCmd7EuJuo15N
17,愛をこめて花束を,Superfly,14723,https://open.spotify.com/track/7CmWXD3w1xOO53AAO4LRVQ
18,"Solo (feat. Demi Lovato)","Clean Bandit",14220,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
19,"Sayonara Elegy","Masaki Suda",14202,https://open.spotify.com/track/0QKmcZNAST4GytJYmkN05D
20,"Hanataba Wo Kimini","Utada Hikaru",13877,https://open.spotify.com/track/31yv1hR9gw1WSEmtqsaZbD
21,"Girls Like You (feat. Cardi B)","Maroon 5",13800,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
22,RAIN,"SEKAI NO OWARI",13789,https://open.spotify.com/track/40cPkRjw5aLQIOjaqgUVnB
23,ワタリドリ,[Alexandros],13776,https://open.spotify.com/track/0ve9Tpz8Yw0I4eXhWsy21o
24,"Dance The Night Away",TWICE,13402,https://open.spotify.com/track/281tmNk46TBQS9ACYMLYyA
25,"Kimiga Kureta Natsu","Leo Ieiri",13325,https://open.spotify.com/track/4bK6qPvD4xB8npRkZa1a55
26,鱗(うろこ),"Motohiro Hata",13041,https://open.spotify.com/track/4IubwxgmXeZtDtYjTaT9gN
27,AM11:00,HY,13028,https://open.spotify.com/track/6YcvfXy4wTvjaIniIBuh30
28,愛を伝えたいだとか,Aimyon,12893,https://open.spotify.com/track/0N8Xztr4pBHJ7V0moJWhbO
29,"What is Love?",TWICE,12885,https://open.spotify.com/track/5Ek40FyMPprcvtyZDjqylX
30,Stay,Zedd,12721,https://open.spotify.com/track/0I20rLT2MJDhcF96AjbNYo
31,"no tears left to cry","Ariana Grande",12613,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
32,Home,"Shota Shimizu",12569,https://open.spotify.com/track/5PF0IW8iHqOcTWAyRqiDzb
33,ノーダウト,"Official HIGE DANdism",12376,https://open.spotify.com/track/5DMEvbg3gUmiR5HIBWdveV
34,Closer,"The Chainsmokers",12373,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
35,2002,Anne-Marie,12307,https://open.spotify.com/track/6SFStUDQZNaGPKWOx9ZiJB
36,Story,AI,12248,https://open.spotify.com/track/0V2axJ946WH1vt9t5SGMLV
37,ハナミズキ,"Yo Hitoto",12128,https://open.spotify.com/track/4PqDkR6YM80Sy590Qsy6mm
38,キセキ,GReeeeN,12101,https://open.spotify.com/track/7ztdl6cnbJgHRdMkKldkts
39,アンビバレント,Keyakizaka46,11983,https://open.spotify.com/track/4mM52ajs23IhFjXOflr60u
40,Hana,"ORANGE RANGE",11792,https://open.spotify.com/track/4clwFLZjrvTtnrMviJnVKh
41,何度でも,"DREAMS COME TRUE",11767,https://open.spotify.com/track/6Qq8UOS6QzeSYFUVXC5wEB
42,"Happy Now",Zedd,11714,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
43,"The Middle",Zedd,11671,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
44,君に届け,flumpool,11643,https://open.spotify.com/track/0kA7SWxWPYqSyIbMl51X5b
45,さよならの前に,AAA,11596,https://open.spotify.com/track/7vwXjDrZT2mqiFynlEwwgG
46,ロビンソン,SPITZ,11572,https://open.spotify.com/track/5YP52gnoypy9H1jg5RIwUW
47,"God is a woman","Ariana Grande",11528,https://open.spotify.com/track/7gkWXbAxIYuvtOpcN3p9GJ
48,新宝島,Sakanaction,11483,https://open.spotify.com/track/6ODZT1FGTE2q4two05giS1
49,"Pieces Of A Dream",CHEMISTRY,11409,https://open.spotify.com/track/6CQ5WvprBENUd53lv9UzAh
50,366日,HY,11357,https://open.spotify.com/track/22aZD7yaGYfhgCYazL4nbc
51,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",10551,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
52,Jikochudeikou!,Nogizaka46,10484,https://open.spotify.com/track/3YjZJjF5C1ob707uyxvkb9
53,"innocent world",Mr.Children,10148,https://open.spotify.com/track/70xcWRujaf34LOu0Vdubtp
54,"WanteD! WanteD!","Mrs. GREEN APPLE",9968,https://open.spotify.com/track/7M3TZDUNvaNBo0qtWVaZif
55,"Symphony (feat. Zara Larsson)","Clean Bandit",8967,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
56,"Born To Be Yours",Kygo,8791,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
57,"Long Hope Philia","Masaki Suda",8709,https://open.spotify.com/track/40QhoIYHZ68NH787hSrIgH
58,"Eastside (with Halsey & Khalid)","benny blanco",8611,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
59,"The Beginning","ONE OK ROCK",8609,https://open.spotify.com/track/4f3nDjgqXurMryYBSp0TZD
60,"Hello,Again~昔からある場所~","My Little Lover",8562,https://open.spotify.com/track/4QXpGTmnWwftsbcSVhBeAm
61,Sobakasu,"JUDY AND MARY",8557,https://open.spotify.com/track/6YtmVjtDWDbac5tcto0BAn
62,LIKEY,TWICE,8551,https://open.spotify.com/track/4Eb5cLWxKQUoUQaKUYSRgI
63,"TT - Japanese ver.",TWICE,8409,https://open.spotify.com/track/0PAyiPTz8gL0udQnSasc5G
64,"Kimi Ga Suki","Shota Shimizu",8337,https://open.spotify.com/track/5Bg0HkfaRYRx8A7tMrjT9Z
65,"DDU-DU DDU-DU - KR Ver.",BLACKPINK,8278,https://open.spotify.com/track/2CWnuF7ht55Ajyeg4WPvWu
66,ヒーロー,"FUNKY MONKEY BABYS",8263,https://open.spotify.com/track/5iSNxrAoctBnFfyz8J9bDO
67,"FAKE LOVE",BTS,8238,https://open.spotify.com/track/3aW0ds4A4tSQDIp75FqWTo
68,Wolves,"Selena Gomez",8223,https://open.spotify.com/track/0tBbt8CrmxbjRP0pueQkyU
69,"One Kiss (with Dua Lipa)","Calvin Harris",8146,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
70,世界はあなたに笑いかけている,"Little Glee Monster",8126,https://open.spotify.com/track/3MN7FLxXoYpAG0S96C9VqO
71,"Jackie Chan",Tiësto,8061,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
72,"I LOVE YOU","Chris Hart",8031,https://open.spotify.com/track/0mf82mK5aeZm4vN9HM2InQ
73,Mama,"Jonas Blue",8017,https://open.spotify.com/track/47OVNnZJzIkrsEiZ4n187p
74,光榮之橋,Yuzu,7939,https://open.spotify.com/track/5KaplUYIDvsFe69z7UArVt
75,"STAY TUNE",Suchmos,7741,https://open.spotify.com/track/0albLGvYx6ftOUJ7KF0i5I
76,浪漫飛行,"Kome Kome Club",7717,https://open.spotify.com/track/2iQeswvPmr9pAlBjx6Ilyb
77,どんなときも。,"Noriyuki Makihara",7632,https://open.spotify.com/track/4feDzcxtXRU8clyOluco5Y
78,Youngblood,"5 Seconds of Summer",7612,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
79,"Kanzen kankaku Dreamer","ONE OK ROCK",7575,https://open.spotify.com/track/1XT0cpl9g0GuRQJao2nqXd
80,R.Y.U.S.E.I.,"J Soul Brothers III from EXILE TRIBE",7405,https://open.spotify.com/track/0eio2xxlLcgMCSMPgJseeI
