,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Te Boté - Remix","Nio Garcia",371452,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
2,"No Es Justo","J Balvin",361490,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7
3,"Sin Pijama","Becky G",340316,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
4,"Vaina Loca",Ozuna,314139,https://open.spotify.com/track/1s2B5cndbqK8rPJEIcKJRQ
5,"In My Feelings",Drake,311023,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
6,Clandestino,Shakira,271870,https://open.spotify.com/track/7DrluKkTviBwCc8AV3VGmf
7,"No Me Acuerdo",Thalía,260556,https://open.spotify.com/track/00EPIEnX1JFjff8sC6bccd
8,"I Like It","Cardi B",236632,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
9,"Por Perro","Sebastian Yatra",234369,https://open.spotify.com/track/2alIsNw1mqEShbWyO1HXZZ
10,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","Sofia Reyes",232717,https://open.spotify.com/track/4QtiVmuA88tPQiCOHZuQ5b
11,"One Kiss (with Dua Lipa)","Calvin Harris",230690,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
12,"Me Niego",Reik,230516,https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T
13,"Te Amo","Piso 21",200361,https://open.spotify.com/track/2RVrdr062uLFxXwIxwdXPH
14,X,"Nicky Jam",196550,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
15,"Cuando Te Besé","Becky G",194546,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy
16,"Culpable O No - Miénteme Como Siempre","Luis Miguel",190915,https://open.spotify.com/track/7BwxbmYFy0l3ROHDjV2c14
17,"La Player (Bandolera)","Zion & Lennox",187691,https://open.spotify.com/track/0VKkyBKCXyR99navhVRqcP
18,"Mala Mía",Maluma,187232,https://open.spotify.com/track/62o8KoI44JfN7aYxgTnPvh
19,"No Hay Nadie Más","Sebastian Yatra",185267,https://open.spotify.com/track/3IPJg1sdqLj12kFIndaonN
20,"Nena Maldicion (feat. Lenny Tavarez)","Paulo Londra",177271,https://open.spotify.com/track/3TnhQSRwT3AVMdXw5JPq0x
21,"Girls Like You (feat. Cardi B)","Maroon 5",175637,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
22,Culpables,"Manuel Turizo",169987,https://open.spotify.com/track/3RD0PGolM0mETGHaprwgMn
23,"Cuando Nadie Ve",Morat,166442,https://open.spotify.com/track/1Cxd4ZJJ9VOQQpNcpdcZEQ
24,"Dura - Remix","Daddy Yankee",163465,https://open.spotify.com/track/6U2NuJILEOEpW2tVCuqKHb
25,"Nunca Es Suficiente","Los Angeles Azules",162006,https://open.spotify.com/track/63USmok1OioBzKuWGW9wAg
26,"Mi Cama - Remix","Karol G",161438,https://open.spotify.com/track/38QmUDpkoYlNbMKvpvAsrE
27,"X - Remix","Nicky Jam",158274,https://open.spotify.com/track/6JjPBQfI2Y8nIjnm65X6Pw
28,"Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21",156919,https://open.spotify.com/track/1j6xOGusnyXq3l6IryKF3G
29,Asesina,Brytiago,156146,https://open.spotify.com/track/6rbhaJsE4uLzpPf8WYSHDK
30,"To My Love - Tainy Remix","Bomba Estéreo",153340,https://open.spotify.com/track/5LciLoxa1gK70yIUeoHgRx
31,"Bella - Remix",Wolfine,148508,https://open.spotify.com/track/0SaYeGhSXN0dDWstyNTQ56
32,"Ahora Te Puedes Marchar","Luis Miguel",136384,https://open.spotify.com/track/1uKjQoh8JZj9ryuYRhpd7E
