,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Djadja,"Aya Nakamura",227062,https://open.spotify.com/track/3XfnssSD9HMQ9LhVOJvXTE
2,"Miljonair (feat. SBMG, Lil' Kleine, Boef & Ronnie Flex)",$hirak,206686,https://open.spotify.com/track/77wz2VtAwxAwYOGTJrZBKT
3,"In My Feelings",Drake,169716,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
4,Drama,Bizzey,166525,https://open.spotify.com/track/7iQKG3ZjRF4EEhUulo514R
5,"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam",153066,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
6,"wine slow - Remix",Idaly,149587,https://open.spotify.com/track/4sfdFMNDcc0Aw9DuwEksAn
7,"Hoe Je Bent",Broederliefde,141788,https://open.spotify.com/track/2a01mRS1QctP7EvmMFoPee
8,Rise,"Jonas Blue",135343,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
9,"Jackie Chan",Tiësto,128283,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
10,LIT,SBMG,127473,https://open.spotify.com/track/76OfzNtY3nG5hCnh5COSjt
11,Youngblood,"5 Seconds of Summer",124833,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
12,Maria,Bizzey,122277,https://open.spotify.com/track/6F3KVKjrgcxsSsZyUNuRAA
13,Shotgun,"George Ezra",115884,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
14,"Liefde In De Lucht","Kraantje Pappie",115758,https://open.spotify.com/track/3xbLeZAtP6yVnsgP3EGlie
15,"One Kiss (with Dua Lipa)","Calvin Harris",114998,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
16,"No Brainer","DJ Khaled",111978,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
17,"Solo (feat. Demi Lovato)","Clean Bandit",106574,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
18,"Body (feat. brando)","Loud Luxury",104303,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
19,"Meli Meli (feat. Ronnie Flex)","Ali B",102094,https://open.spotify.com/track/2gRJDJb8aAjAOzSrv1EPMe
20,"Girls Like You (feat. Cardi B)","Maroon 5",95488,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
21,"In My Mind",Dynoro,93490,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
22,"J'ai Déconné",Latifah,90742,https://open.spotify.com/track/51PcB5453BMTM18V0hru79
23,"La Cintura","Alvaro Soler",86346,https://open.spotify.com/track/19MBk3PbNFE36wqIqkMq9H
24,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,86219,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
25,"Taste (feat. Offset)",Tyga,84760,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
26,"Omarm Me","Ronnie Flex",83317,https://open.spotify.com/track/1lWBPQBghFHdpLbE6UnNc6
27,"Lucid Dreams","Juice WRLD",82378,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
28,"Happy Now",Zedd,81620,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
29,"Eastside (with Halsey & Khalid)","benny blanco",80343,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
30,"Ocean (feat. Khalid)","Martin Garrix",80136,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
31,"Therapy (feat. James Newman)","Armin van Buuren",79339,https://open.spotify.com/track/7yN5w9qB7Km1Fqx96ZnG5W
32,"Born To Be Yours",Kygo,77055,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
33,SAD!,XXXTENTACION,77035,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
34,Dura,"Daddy Yankee",76990,https://open.spotify.com/track/6KuqAtoeVzxAYOaMveLNpH
35,Flames,"David Guetta",75767,https://open.spotify.com/track/33IOhptvC2Qoy2UhjiHXLV
36,Nightvision,Broederliefde,74842,https://open.spotify.com/track/4cHAdwWmhk4muLMNUAKAqg
37,BUK,Valsbezig,74263,https://open.spotify.com/track/0RyBrDPSh7alcvWdRApQd6
38,"Leave a Light On","Tom Walker",71779,https://open.spotify.com/track/6lOWoTqVnAWXchddtTH31W
