,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Eastside (with Halsey & Khalid)","benny blanco",53170,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
2,"No Brainer","DJ Khaled",47568,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
3,"In My Feelings",Drake,46606,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
4,"Girls Like You (feat. Cardi B)","Maroon 5",39594,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
5,Youngblood,"5 Seconds of Summer",37019,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
6,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,36954,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
7,"Taste (feat. Offset)",Tyga,35865,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
8,"SICKO MODE","Travis Scott",35556,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
9,"Lucid Dreams","Juice WRLD",33454,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
10,"Be Alright","Dean Lewis",32042,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
11,"Jackie Chan",Tiësto,29420,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
12,Rise,"Jonas Blue",28613,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
13,"God is a woman","Ariana Grande",27898,https://open.spotify.com/track/7gkWXbAxIYuvtOpcN3p9GJ
14,"Better Now","Post Malone",26070,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
15,"lovely (with Khalid)","Billie Eilish",26062,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
16,Vibes,Six60,25147,https://open.spotify.com/track/5EKITWJXROxWdc0bcRrMLy
17,"I Like It","Cardi B",24906,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
18,SAD!,XXXTENTACION,24770,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
19,"Ocean (feat. Khalid)","Martin Garrix",24297,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
20,"Praise The Lord (Da Shine)","A$AP Rocky",23268,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
21,2002,Anne-Marie,22870,https://open.spotify.com/track/6SFStUDQZNaGPKWOx9ZiJB
22,"Born To Be Yours",Kygo,21512,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
23,Nevermind,"Dennis Lloyd",20889,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
24,STARGAZING,"Travis Scott",19991,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
25,"Nice For What",Drake,19150,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
26,Moonlight,XXXTENTACION,19104,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
27,"I'll Be There","Jess Glynne",19018,https://open.spotify.com/track/083Qf6hn6sFL6xiOHlZUyn
28,"Solo (feat. Demi Lovato)","Clean Bandit",18681,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
29,OTW,Khalid,17913,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI
30,"Boo'd Up","Ella Mai",17764,https://open.spotify.com/track/0At2qAoaVjIwWNAqrscXli
31,"Jocelyn Flores",XXXTENTACION,17256,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
32,"Beautiful (feat. Camila Cabello)",Bazzi,16960,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
33,Nonstop,Drake,16872,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
34,"I'm a Mess","Bebe Rexha",16818,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
35,"Body (feat. brando)","Loud Luxury",16739,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
36,"Psycho (feat. Ty Dolla $ign)","Post Malone",16577,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
37,"Love Lies (with Normani)",Khalid,16305,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
38,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",16199,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
39,"God's Plan",Drake,16097,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
40,"Hurt Somebody","Noah Kahan",15705,https://open.spotify.com/track/7apizLyhMRutg3ccXvr2qv
41,"Happy Now",Zedd,15354,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
42,"Drift Away","Sons Of Zion",15220,https://open.spotify.com/track/2bx4jOMWpCbemnnRWfsMbx
43,"One Kiss (with Dua Lipa)","Calvin Harris",14826,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
44,changes,XXXTENTACION,14689,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
45,"rockstar (feat. 21 Savage)","Post Malone",14237,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
46,SWISH,Tyga,14104,https://open.spotify.com/track/55GiOwtxNajXVbpjjIzMnD
47,"Bed (feat. Ariana Grande)","Nicki Minaj",13730,https://open.spotify.com/track/3L4GsGLgxpHieVQH86H8bv
48,21,"Mitch James",13352,https://open.spotify.com/track/5hH7Rb0DVsOStke6eGS9Sr
49,"Taking A Walk","Trippie Redd",13056,https://open.spotify.com/track/4mHgYpuGHu99Mw69E83CP2
50,"Playinwitme (feat. Kehlani)",KYLE,12812,https://open.spotify.com/track/4F1yvJfQ7gJkrcgFJQDjOr
51,"In My Mind",Dynoro,12473,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
52,"no tears left to cry","Ariana Grande",12297,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
53,"I Fall Apart","Post Malone",12205,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
54,"Shape of You","Ed Sheeran",12080,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
55,Shotgun,"George Ezra",11770,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
56,"WAKE UP","Travis Scott",11711,https://open.spotify.com/track/20MuVazoNMv6xjKPnRFOxG
57,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",11546,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
58,"High Hopes","Panic! At The Disco",11442,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
59,"you should see me in a crown","Billie Eilish",11240,https://open.spotify.com/track/6vsV4D8BM6PioRr1UOx0n2
60,"Leave a Light On","Tom Walker",11198,https://open.spotify.com/track/6lOWoTqVnAWXchddtTH31W
61,"ocean eyes","Billie Eilish",10971,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
62,"Barbie Dreams","Nicki Minaj",10862,https://open.spotify.com/track/6Poyf51k7W3NKnsGwAI90B
63,"The Middle",Zedd,10690,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
64,"Thunderclouds with Sia, Diplo & Labrinth",Sia,10238,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
65,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,10030,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
