,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Vaina Loca",Ozuna,81143,https://open.spotify.com/track/1s2B5cndbqK8rPJEIcKJRQ
2,"Sin Pijama","Becky G",80950,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
3,"Te Boté - Remix","Nio Garcia",78904,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
4,"Por Perro","Sebastian Yatra",78784,https://open.spotify.com/track/2alIsNw1mqEShbWyO1HXZZ
5,"No Es Justo","J Balvin",75860,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7
6,"Cuando Te Besé","Becky G",67605,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy
7,"No Me Acuerdo",Thalía,65838,https://open.spotify.com/track/00EPIEnX1JFjff8sC6bccd
8,"La Player (Bandolera)","Zion & Lennox",59387,https://open.spotify.com/track/0VKkyBKCXyR99navhVRqcP
9,"Te Amo","Piso 21",58612,https://open.spotify.com/track/2RVrdr062uLFxXwIxwdXPH
10,"Me Niego",Reik,56007,https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T
11,Clandestino,Shakira,55409,https://open.spotify.com/track/7DrluKkTviBwCc8AV3VGmf
12,"X - Remix","Nicky Jam",53986,https://open.spotify.com/track/6JjPBQfI2Y8nIjnm65X6Pw
13,"Dura - Remix","Daddy Yankee",48312,https://open.spotify.com/track/6U2NuJILEOEpW2tVCuqKHb
14,"In My Feelings",Drake,48115,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
15,"Madura (feat. Bad Bunny)",Cosculluela,45408,https://open.spotify.com/track/0r9d60ZYPAlFHq8qnUtkXN
16,"I Like It","Cardi B",44927,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
17,"Nena Maldicion (feat. Lenny Tavarez)","Paulo Londra",43672,https://open.spotify.com/track/3TnhQSRwT3AVMdXw5JPq0x
18,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","Sofia Reyes",42594,https://open.spotify.com/track/4QtiVmuA88tPQiCOHZuQ5b
19,"Duro y Suave","Leslie Grace",42576,https://open.spotify.com/track/31M5m42C3EGlbydf9XB5to
20,"Mi Cama","Karol G",41684,https://open.spotify.com/track/7sFYVcKSb24qg0dAkqLEFj
21,"Bella - Remix",Wolfine,39568,https://open.spotify.com/track/0SaYeGhSXN0dDWstyNTQ56
22,Asesina,Brytiago,39496,https://open.spotify.com/track/6rbhaJsE4uLzpPf8WYSHDK
23,Unica,Ozuna,37488,https://open.spotify.com/track/6752EZMgXswvRBH3N2PilO
24,"Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21",37426,https://open.spotify.com/track/1j6xOGusnyXq3l6IryKF3G
25,"No Hay Nadie Más","Sebastian Yatra",36954,https://open.spotify.com/track/3IPJg1sdqLj12kFIndaonN
26,"El Préstamo",Maluma,36698,https://open.spotify.com/track/2XVilv6s9GETnw9PG4T9Mz
27,"Mala Mía",Maluma,35262,https://open.spotify.com/track/62o8KoI44JfN7aYxgTnPvh
28,"El Clavo - Remix","Prince Royce",34184,https://open.spotify.com/track/6bI00brFpeprqCDqKouEJS
29,Dembow,"Danny Ocean",33881,https://open.spotify.com/track/2EzRdhuoPyNJDlep7lnNf2
30,"Mi Cama - Remix","Karol G",33874,https://open.spotify.com/track/38QmUDpkoYlNbMKvpvAsrE
31,Amantes,Greeicy,33798,https://open.spotify.com/track/3IyPnNX142pvWx6D5CiimD
32,"Chica Paranormal","Paulo Londra",31109,https://open.spotify.com/track/2r77vqSZkOktTSgmAOoHsV
33,"Estamos Bien","Bad Bunny",30748,https://open.spotify.com/track/7glCSQqV5o6NU88Cn4zPZn
34,"No Quiero Amarte (feat. Zion & Lennox)","Justin Quiles",30713,https://open.spotify.com/track/5bITfqKGaPakO1l99hOMsI
