,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"In My Feelings",Drake,221686,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
2,"Kung 'Di Rin Lang Ikaw","December Avenue",188483,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV
3,"Girls Like You (feat. Cardi B)","Maroon 5",178571,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
4,Mundo,"IV Of Spades",170305,https://open.spotify.com/track/4u8RkgV6P4TLi89SmlUtv8
5,"Kathang Isip",Ben&Ben,164300,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh
6,"Thru These Tears",LANY,157092,https://open.spotify.com/track/4gB61mP4tNChn4LgfquMhi
7,"No Brainer","DJ Khaled",145493,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
8,"'Di Na Muli","Janine Teñoso",141631,https://open.spotify.com/track/3VQb0rq27GPX92X53Ni1Lc
9,2002,Anne-Marie,134978,https://open.spotify.com/track/6SFStUDQZNaGPKWOx9ZiJB
10,"Sa Ngalan Ng Pag-Ibig","December Avenue",134609,https://open.spotify.com/track/00mBzIWv5gHOYxwuEJXjOG
11,"Eastside (with Halsey & Khalid)","benny blanco",128052,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
12,Tagpuan,"Moira Dela Torre",115857,https://open.spotify.com/track/0ztDBQdQmdVZvorSmIjMih
13,Rise,"Jonas Blue",115701,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
14,"DDU-DU DDU-DU - KR Ver.",BLACKPINK,112106,https://open.spotify.com/track/2CWnuF7ht55Ajyeg4WPvWu
15,"Happy Now",Zedd,111649,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
16,"Beautiful (feat. Camila Cabello)",Bazzi,107327,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
17,BAAM,MOMOLAND,99770,https://open.spotify.com/track/4Is1b37KJY9XVCgzp81FBW
18,"I'm a Mess","Bebe Rexha",93606,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
19,"Midnight Sky",UNIQUE,91984,https://open.spotify.com/track/5eFzCfsj3d0yWumdEldZwL
20,"God is a woman","Ariana Grande",86527,https://open.spotify.com/track/7gkWXbAxIYuvtOpcN3p9GJ
21,IDGAF,"Dua Lipa",85513,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
22,"Freaky Friday (feat. Chris Brown)","Lil Dicky",85173,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
23,Nadarang,"Shanti Dope",82292,https://open.spotify.com/track/6LJ1p1h5EcMK4VPeCLDSoF
24,"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta",80784,https://open.spotify.com/track/2lYTJK94hb0fd1LQtb6Dhk
25,"BBoom BBoom",MOMOLAND,79250,https://open.spotify.com/track/3BPoSr2pO34Aan6alFfVto
26,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",76767,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
27,"Ocean (feat. Khalid)","Martin Garrix",75341,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
28,13,LANY,74774,https://open.spotify.com/track/0WOvSEVpUGkNufX0w0M06F
