,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,อาวรณ์,Polycat,22602,https://open.spotify.com/track/2USX969yFQ250hBULh6Ope
2,"DDU-DU DDU-DU - KR Ver.",BLACKPINK,16407,https://open.spotify.com/track/2CWnuF7ht55Ajyeg4WPvWu
3,"In My Feelings",Drake,15546,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
4,"บอกตัวเอง (feat. โป่ง หินเหล็กไฟ)","Room 39",15097,https://open.spotify.com/track/3WQe3r4R1lnJs75ty9UYDF
5,มีผลต่อหัวใจ,"Non Tanon",14615,https://open.spotify.com/track/6LxsOkPSGBOsPhDKFAgYVM
6,หมอกร้าย,Lipta,14554,https://open.spotify.com/track/0EYgFMIXhjcFgX6xe2NY9v
7,ภาพจำ,"Pop Pongkool",13428,https://open.spotify.com/track/4YRpjJaJpiI36HM36Dn5lS
8,คนที่ไม่ใช่,O-Pavee,11768,https://open.spotify.com/track/76rs0Apd4Ct5LwJm8pB6r1
9,"Girls Like You (feat. Cardi B)","Maroon 5",11645,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
10,ถ้าเธอต้องเลือก,Illslick,11583,https://open.spotify.com/track/5Of65kRDivh4UHG3SG5Iad
11,วิชาตัวเบา,Bodyslam,11506,https://open.spotify.com/track/2j2NeZZJ0STZQy5Aw3oZLL
12,"Good Luck feat. Maiyarap",Lipta,11492,https://open.spotify.com/track/3tMbwbZpYXGHeg0l45m7Tv
13,ความเงียบดังที่สุด,Getsunova,11453,https://open.spotify.com/track/49o9ToewyZywgB5KlaB3WN
14,นอนได้แล้ว,"Fukking Hero",11230,https://open.spotify.com/track/5JhLoyD2idGlKXwD9nmYuB
15,ขอโทษ,"Burin Boonvisut",10822,https://open.spotify.com/track/6sCQmOY5k4BcjONYyVccaz
16,"FOREVER YOUNG - KR Ver.",BLACKPINK,10762,https://open.spotify.com/track/57Enap29zKl7NGRdDJjkjA
17,"Good Morning Teacher","Atom Chanakan",10341,https://open.spotify.com/track/4AsE3bvoh6yuZls617lj4Z
18,"Power Up","Red Velvet",10296,https://open.spotify.com/track/381g0b6QZxC13SzA2HRMIc
19,"No Brainer","DJ Khaled",10192,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
20,หากวันนั้น,"Room 39",9946,https://open.spotify.com/track/4hy03eg0PksOEJraNfqb1O
21,ใจเย็นเย็น,Clash,9542,https://open.spotify.com/track/16alky6DYKkpbkKOtAtzTU
22,"Beautiful (feat. Camila Cabello)",Bazzi,9237,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
23,กำลังจะ,Illslick,9143,https://open.spotify.com/track/18kwPdB3Bx8n9Mk4YsO6LT
24,"Day 1 ◑",HONNE,8599,https://open.spotify.com/track/7AWZvcyaSBxRzaBJcHf9XL
25,ถ้าฉันหายไป(Skyline),"Earth Patravee",8534,https://open.spotify.com/track/0goff2JabkZTEq1yKeyoM8
26,พอจะรู้,meyou.,8291,https://open.spotify.com/track/4p4SOBQ0fxHYluEcba6Xrq
27,"KILLING ME",iKON,8190,https://open.spotify.com/track/27kB4qLUCV8nZd2eOgj1Tk
28,"Galaxy (feat. Kob The X Factor)","D Gerrard",8139,https://open.spotify.com/track/0yO5RrszdEpqXhDwyhP6nX
29,"Eastside (with Halsey & Khalid)","benny blanco",8002,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
30,ใจเย็น,Image,7687,https://open.spotify.com/track/5HoTeTzdfAataCZ0piQyAv
31,เท่าไหร่ไม่จำ,Potato,7657,https://open.spotify.com/track/5zRMhQ21pWGN0rPxAS4QkI
32,ไม่ให้เธอหายไป,"Earth Patravee",7623,https://open.spotify.com/track/1ue2yCGLgvUKnfqQaXN0cb
33,"ภูเขาบังเส้นผม feat. TWOPEE",Stamp,7616,https://open.spotify.com/track/5kHLmBd3GTMIFhWdD3berA
34,2002,Anne-Marie,7322,https://open.spotify.com/track/6SFStUDQZNaGPKWOx9ZiJB
35,ก็ดี..,Ironboy,7153,https://open.spotify.com/track/1KlpMWDwKBA0HTysXfvjjh
36,Escape,"Moving and Cut",6964,https://open.spotify.com/track/3QNcZFnVawSjecRnWDd15O
37,"คิดถึงจัง (มาหาหน่อย)","Oat Pramote",6922,https://open.spotify.com/track/63quSq4p0NagZdZI3ttb4f
38,"Happy Now",Zedd,6737,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
39,แอบบอกรัก,Jaonaay,6646,https://open.spotify.com/track/1xJP5BQBwQRl59B6EGcujF
