,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"In My Feelings",Drake,21584,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
2,"No Brainer","DJ Khaled",19814,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
3,"Happy Now",Zedd,19649,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
4,"Beautiful (feat. Camila Cabello)",Bazzi,19112,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
5,"Girls Like You (feat. Cardi B)","Maroon 5",18280,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
6,"Eastside (with Halsey & Khalid)","benny blanco",17326,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
7,Darkside,"Alan Walker",15682,https://open.spotify.com/track/1snWlbcbgQpJfknoI30DWG
8,Rise,"Jonas Blue",14504,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
9,"Solo (feat. Demi Lovato)","Clean Bandit",14050,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
10,"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta",13927,https://open.spotify.com/track/2lYTJK94hb0fd1LQtb6Dhk
11,"Ocean (feat. Khalid)","Martin Garrix",13640,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
12,體面(電影《前任3:再見前任》插曲),"Kelly Yu",13271,https://open.spotify.com/track/7cE5ehlKJ3L9Ejhzm3udcF
13,浪子回頭,EggPlantEgg,13213,https://open.spotify.com/track/7J6wLr8qRqLPMeOZlR54NM
14,2002,Anne-Marie,13022,https://open.spotify.com/track/6SFStUDQZNaGPKWOx9ZiJB
15,"I'm a Mess","Bebe Rexha",12965,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
16,倒數,G.E.M.,12752,https://open.spotify.com/track/2HmM5p02Q2qrYZvXJRLVx3
17,"Born To Be Yours",Kygo,12477,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
18,"God is a woman","Ariana Grande",12389,https://open.spotify.com/track/7gkWXbAxIYuvtOpcN3p9GJ
19,"High On Life (feat. Bonn)","Martin Garrix",12222,https://open.spotify.com/track/4ut5G4rgB1ClpMTMfjoIuy
20,"Side Effects","The Chainsmokers",11778,https://open.spotify.com/track/5yNEdBlZMxpcVtGKz5NFk5
