,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Way Back Home",SHAUN,6808,https://open.spotify.com/track/3NxuezMdSLgt4OwHzBoUhL
2,"Bùa Yêu","Bich Phuong",4087,https://open.spotify.com/track/50NsdT6u77MIFociYnvzsG
3,"Happy Now",Zedd,4084,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
4,"Người Ta Có Thương Mình Đâu","Truc Nhan",3922,https://open.spotify.com/track/6A1Fp35pdTxUD5mb5BpjJE
5,"Girls Like You (feat. Cardi B)","Maroon 5",3901,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
6,"Em mới là người yêu anh",Min,3632,https://open.spotify.com/track/5s5WpwEoK2V0a1eZq8ES5Y
7,"Beautiful (feat. Camila Cabello)",Bazzi,3572,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
8,"No Brainer","DJ Khaled",3372,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
9,"In My Feelings",Drake,3339,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
10,"FAKE LOVE",BTS,3164,https://open.spotify.com/track/3aW0ds4A4tSQDIp75FqWTo
11,"DDU-DU DDU-DU - KR Ver.",BLACKPINK,3114,https://open.spotify.com/track/2CWnuF7ht55Ajyeg4WPvWu
12,"Thunderclouds with Sia, Diplo & Labrinth",Sia,3045,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
13,"Eastside (with Halsey & Khalid)","benny blanco",3039,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
14,"That Girl","Olly Murs",2962,https://open.spotify.com/track/4yYyidLY7wb22VEIL6Hzcj
15,Darkside,"Alan Walker",2945,https://open.spotify.com/track/1snWlbcbgQpJfknoI30DWG
16,"Nguoi Hay Quen Em DI","My Tam",2901,https://open.spotify.com/track/6XJsQ5nqCu8RUv9pv1iz1x
17,"KILLING ME",iKON,2882,https://open.spotify.com/track/27kB4qLUCV8nZd2eOgj1Tk
18,Rise,"Jonas Blue",2476,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
19,"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta",2470,https://open.spotify.com/track/2lYTJK94hb0fd1LQtb6Dhk
20,"Thương Nhiều Hơn Nói",Masew,2364,https://open.spotify.com/track/6LzTNjxQ67qJ2AxoQJvvVg
21,"God is a woman","Ariana Grande",2345,https://open.spotify.com/track/7gkWXbAxIYuvtOpcN3p9GJ
22,"Solo (feat. Demi Lovato)","Clean Bandit",2274,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
23,"I'm a Mess","Bebe Rexha",2225,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
24,"High On Life (feat. Bonn)","Martin Garrix",2209,https://open.spotify.com/track/4ut5G4rgB1ClpMTMfjoIuy
25,Havana,"Camila Cabello",2180,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
26,"Be Alright","Dean Lewis",2054,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
27,"Shape of You","Ed Sheeran",2009,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
28,"Hôm Nay Tôi Buồn","Phùng Khánh Linh",2002,https://open.spotify.com/track/4Jh1gihtrVUPcMebKpVGMk
29,"Ocean (feat. Khalid)","Martin Garrix",1962,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
30,"Ngày Mai Em Đi","Le Hieu",1923,https://open.spotify.com/track/0ZP4bO2ywAv44HiEzzHaq5
31,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",1876,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
32,"In My Mind",Dynoro,1869,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
33,"Power Up","Red Velvet",1867,https://open.spotify.com/track/381g0b6QZxC13SzA2HRMIc
34,"Reality - Radio Edit","Lost Frequencies",1851,https://open.spotify.com/track/0cOBMETjhxublnnwhbnzJO
35,"Let Me Down Slowly","Alec Benjamin",1829,https://open.spotify.com/track/2uaiyLKnYvazyfR0Ky3Kbk
36,"Người Âm Phủ",Osad,1821,https://open.spotify.com/track/6ksvjB1LSB7splNtvA49xX
37,"The Middle",Zedd,1776,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
38,Natural,"Imagine Dragons",1772,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
39,"Muon Mang La Tu Luc","My Tam",1755,https://open.spotify.com/track/249fiLJ8fFXYLL4NNjjgXT
40,FRIENDS,Marshmello,1754,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
